"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"64166","https://toiletmap.gov.au/facility/64166","Ricardoes Tomatoes & Strawberries","Food outlet","221 Blackmans Point Road","Blackmans Point","NSW","The farmgate is 1km from the M1 roundabout 3km north of Port Macquarie. Take Blackmans Point exit. ","-31.39112904","152.82822242","False","False","","False","False","False","False","Massive car and vehicle parking; all sealed; suits all, including RVs, caravans.","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 7am-8pm","","True","True","False","False","False","True","False","False"," A welcoming family farm. Easy access; no long detour.","False","True","True","False","False"
"64167","https://toiletmap.gov.au/facility/64167","Union Square Shopping Centre","Shopping centre","190 Union Street","Brunswick West","VIC","Facility located next to the fruit market.","-37.77217146","144.94899024","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 8am-8pm","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64168","https://toiletmap.gov.au/facility/64168","Caltex Sunhill Central","Service station","22 Gowan Road","Sunnybank Hills","QLD","","-27.59146988","153.06521851","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64170","https://toiletmap.gov.au/facility/64170","Caniambo Hall","Community building","480 Bridge Road","Caniambo","VIC","","-36.46848790","145.63156450","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64171","https://toiletmap.gov.au/facility/64171","Rocky Valley Lookout ","Car park","Bogong High Plains Rd","Falls Creek","VIC","","-36.87337258","147.29101233","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64172","https://toiletmap.gov.au/facility/64172","Roseneath Caravan Park","Caravan park","517 Woodpile Road","Meerlieu","VIC","","-38.06204125","147.42693580","True","False","Car park between office and amenities block.","False","False","False","False","","False","False","False","False","False","","False","False","","True","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","True","False","","False","False","False","False","True"
"64174","https://toiletmap.gov.au/facility/64174","Yokinup Mia Mia Campground ","Camping ground","Yokinup Bay Road","Cape Arid","WA","One of 2 toilet blocks in this campground","-33.85403421","123.01151908","False","False","","False","False","False","False","Part of campground , no dedicated parking. Room for verge parking","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","2 Unisex toilets - Longdrop chemical","False","False","False","False","False"
"64175","https://toiletmap.gov.au/facility/64175","Yokinup Mia Mia Campground 2","Camping ground","Yokinup Bay Road","Cape Arid","WA","2nd of 2 toilet blocks in campground","-33.85432497","123.01257432","False","False","Verge parking as no dedicated parking.","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","Chemical long drop toilets x 2","False","False","False","False","False"
"64176","https://toiletmap.gov.au/facility/64176","Thomas River Campground ","Camping ground","Yokinup Bay Road","Cape Arid","WA","Old concrete toilet block","-33.85372534","123.01885951","True","False","","False","False","False","False","Verge parking ","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64177","https://toiletmap.gov.au/facility/64177","Memorial Park","Community building","37A Cecilia Street","St Helens","TAS","Building to the rear of Memorial Park","-41.32245864","148.24916584","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","True","True","False","False","","False","False","True","False","False"
"64178","https://toiletmap.gov.au/facility/64178","Coonalpyn Caravan Park ","Park or reserve","5-15 George Terrace","Coonalpyn","SA","","-35.69210640","139.85977180","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","True","False","False","","OPEN: 24 hours","","True","True","True","False","False","True","False","False","","False","True","False","False","True"
"64180","https://toiletmap.gov.au/facility/64180","Arena Shopping Centre","Shopping centre","Cardinia Road","Officer","VIC","","-38.06426736","145.43519048","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Sun 9am-5pm, Mon-Sat 9am-6pm","","True","True","False","False","True","False","False","False","","True","False","True","False","False"
"64181","https://toiletmap.gov.au/facility/64181","Perth Observatory","Other","337 Walnut Road","Bickley","WA","","-32.00769559","116.13465525","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Variable hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64185","https://toiletmap.gov.au/facility/64185","Woolworths Camberwell","Shopping centre","15 Station St","Camberwell","VIC","","-37.83000567","145.05856551","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Sun 8am-9pm, Mon-Sat 7am-11pm","","True","True","True","False","False","True","False","False","","True","False","True","False","False"
"64186","https://toiletmap.gov.au/facility/64186","SES Showgrounds","Community building","Captain Cook Drive","Seventeen Seventy","QLD","","-24.18146100","151.88316100","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","True","True","True","","OPEN: 24 hours","","True","True","False","False","True","True","False","False","","False","False","True","False","False"
"64187","https://toiletmap.gov.au/facility/64187","French Quarter","Community building","3029 The Boulevard","Carrara","QLD","Behind Gloria Jeans.","-28.01635090","153.37370000","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"64189","https://toiletmap.gov.au/facility/64189","Woolworths Coolbellup","Shopping centre","1 Waverley Road","Coolbellup","WA","","-32.08099800","115.80771770","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
