"statistikkvariabel"	"næring (SN2007)"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"
"Omsetning"	"46.310 Engroshandel med frukt og grønnsaker"	0	0	0	0	0	0	16334	18664	18832	19178	19709	20027	20854	0	0	32636	20885
"Omsetning"	"46.320 Engroshandel med kjøtt og kjøttvarer"	0	0	0	0	0	0	3209	1925	2072	1963	1965	2004	2542	0	0	2312	1294
