"materialtype"	"behandlingsmåte"	"Avfallsmengde 2015"	"Avfallsmengde 2022"
"Gummi"	"Levert til ukjent behandling"	0	12
"Tekstiler"	"Avfallsbehandling i alt"	0	1
"Tekstiler"	"Levert til materialgjenvinning"	0	0
"Tekstiler"	"Levert til kompostering"	0	0
"Tekstiler"	"Levert til biogassbehandling"	0	0
"Tekstiler"	"Levert til forbrenning"	0	0
"Tekstiler"	"Brukt som fyll- og/eller dekkmasse"	0	0
"Tekstiler"	"Levert til deponering"	0	0
"Tekstiler"	"Annen behandling"	0	0
"Tekstiler"	"Levert til ukjent behandling"	0	0
"Betong og tegl"	"Avfallsbehandling i alt"	39	112
"Betong og tegl"	"Levert til materialgjenvinning"	20	22
"Betong og tegl"	"Levert til kompostering"	0	0
"Betong og tegl"	"Levert til biogassbehandling"	0	0
"Betong og tegl"	"Levert til forbrenning"	0	0
"Betong og tegl"	"Brukt som fyll- og/eller dekkmasse"	8	7
"Betong og tegl"	"Levert til deponering"	11	49
"Betong og tegl"	"Annen behandling"	1	22
"Betong og tegl"	"Levert til ukjent behandling"	0	11
"Slagg, støv, bunnaske, flygeaske"	"Avfallsbehandling i alt"	63	48
"Slagg, støv, bunnaske, flygeaske"	"Levert til materialgjenvinning"	3	11
"Slagg, støv, bunnaske, flygeaske"	"Levert til kompostering"	0	0
"Slagg, støv, bunnaske, flygeaske"	"Levert til biogassbehandling"	0	0
"Slagg, støv, bunnaske, flygeaske"	"Levert til forbrenning"	0	0
"Slagg, støv, bunnaske, flygeaske"	"Brukt som fyll- og/eller dekkmasse"	0	0
"Slagg, støv, bunnaske, flygeaske"	"Levert til deponering"	59	27
"Slagg, støv, bunnaske, flygeaske"	"Annen behandling"	0	10
"Slagg, støv, bunnaske, flygeaske"	"Levert til ukjent behandling"	0	1
"Uorganisk slam, tørrstoff"	"Avfallsbehandling i alt"	18	36
"Uorganisk slam, tørrstoff"	"Levert til materialgjenvinning"	6	1
"Uorganisk slam, tørrstoff"	"Levert til kompostering"	0	0
"Uorganisk slam, tørrstoff"	"Levert til biogassbehandling"	0	0
"Uorganisk slam, tørrstoff"	"Levert til forbrenning"	6	0
"Uorganisk slam, tørrstoff"	"Brukt som fyll- og/eller dekkmasse"	0	0
"Uorganisk slam, tørrstoff"	"Levert til deponering"	5	9
"Uorganisk slam, tørrstoff"	"Annen behandling"	0	25
"Uorganisk slam, tørrstoff"	"Levert til ukjent behandling"	0	0
"Andre materialer"	"Avfallsbehandling i alt"	93	98
"Andre materialer"	"Levert til materialgjenvinning"	50	23
"Andre materialer"	"Levert til kompostering"	4	0
"Andre materialer"	"Levert til biogassbehandling"	0	1
"Andre materialer"	"Levert til forbrenning"	6	3
"Andre materialer"	"Brukt som fyll- og/eller dekkmasse"	1	0
"Andre materialer"	"Levert til deponering"	25	33
"Andre materialer"	"Annen behandling"	7	33
"Andre materialer"	"Levert til ukjent behandling"	0	5
"Blandet avfall"	"Avfallsbehandling i alt"	162	240
"Blandet avfall"	"Levert til materialgjenvinning"	0	27
"Blandet avfall"	"Levert til kompostering"	0	1
"Blandet avfall"	"Levert til biogassbehandling"	2	7
"Blandet avfall"	"Levert til forbrenning"	42	96
"Blandet avfall"	"Brukt som fyll- og/eller dekkmasse"	0	1
"Blandet avfall"	"Levert til deponering"	8	19
"Blandet avfall"	"Annen behandling"	14	10
"Blandet avfall"	"Levert til ukjent behandling"	97	78
"Lett forurensede masser"	"Avfallsbehandling i alt"	13	12
"Lett forurensede masser"	"Levert til materialgjenvinning"	1	1
"Lett forurensede masser"	"Levert til kompostering"	0	0
"Lett forurensede masser"	"Levert til biogassbehandling"	0	0
"Lett forurensede masser"	"Levert til forbrenning"	0	0
"Lett forurensede masser"	"Brukt som fyll- og/eller dekkmasse"	1	1
"Lett forurensede masser"	"Levert til deponering"	11	1
"Lett forurensede masser"	"Annen behandling"	0	9
"Lett forurensede masser"	"Levert til ukjent behandling"	0	1
