"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1989M03";"Konsumprisindeks (2015=100)";56,9
"TOTAL Totalindeks";"1989M03";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"1989M03";"12-måneders endring (prosent)";4,2
"TOTAL Totalindeks";"1989M04";"Konsumprisindeks (2015=100)";57,2
"TOTAL Totalindeks";"1989M04";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1989M04";"12-måneders endring (prosent)";4,6
"TOTAL Totalindeks";"1989M05";"Konsumprisindeks (2015=100)";57,4
"TOTAL Totalindeks";"1989M05";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1989M05";"12-måneders endring (prosent)";4,7
"TOTAL Totalindeks";"1989M06";"Konsumprisindeks (2015=100)";57,7
"TOTAL Totalindeks";"1989M06";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1989M06";"12-måneders endring (prosent)";4,7
"TOTAL Totalindeks";"1989M07";"Konsumprisindeks (2015=100)";57,8
"TOTAL Totalindeks";"1989M07";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1989M07";"12-måneders endring (prosent)";4,9
"TOTAL Totalindeks";"1989M08";"Konsumprisindeks (2015=100)";57,6
"TOTAL Totalindeks";"1989M08";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"1989M08";"12-måneders endring (prosent)";4,5
"TOTAL Totalindeks";"1989M09";"Konsumprisindeks (2015=100)";58,1
"TOTAL Totalindeks";"1989M09";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"1989M09";"12-måneders endring (prosent)";4,1
"TOTAL Totalindeks";"1989M10";"Konsumprisindeks (2015=100)";58,2
"TOTAL Totalindeks";"1989M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1989M10";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"1989M11";"Konsumprisindeks (2015=100)";58,2
"TOTAL Totalindeks";"1989M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1989M11";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"1989M12";"Konsumprisindeks (2015=100)";58,2
"TOTAL Totalindeks";"1989M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1989M12";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"1990M01";"Konsumprisindeks (2015=100)";58,6
"TOTAL Totalindeks";"1990M01";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1990M01";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"1990M02";"Konsumprisindeks (2015=100)";58,8
"TOTAL Totalindeks";"1990M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1990M02";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"1990M03";"Konsumprisindeks (2015=100)";59,5
"TOTAL Totalindeks";"1990M03";"Månedsendring (prosent)";1,2
"TOTAL Totalindeks";"1990M03";"12-måneders endring (prosent)";4,6
"TOTAL Totalindeks";"1990M04";"Konsumprisindeks (2015=100)";59,5
"TOTAL Totalindeks";"1990M04";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1990M04";"12-måneders endring (prosent)";4
"TOTAL Totalindeks";"1990M05";"Konsumprisindeks (2015=100)";59,6
"TOTAL Totalindeks";"1990M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1990M05";"12-måneders endring (prosent)";3,8
"TOTAL Totalindeks";"1990M06";"Konsumprisindeks (2015=100)";59,8
"TOTAL Totalindeks";"1990M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1990M06";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"1990M07";"Konsumprisindeks (2015=100)";59,9
"TOTAL Totalindeks";"1990M07";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1990M07";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"1990M08";"Konsumprisindeks (2015=100)";59,8
"TOTAL Totalindeks";"1990M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"1990M08";"12-måneders endring (prosent)";3,8
"TOTAL Totalindeks";"1990M09";"Konsumprisindeks (2015=100)";60,4
"TOTAL Totalindeks";"1990M09";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"1990M09";"12-måneders endring (prosent)";4
"TOTAL Totalindeks";"1990M10";"Konsumprisindeks (2015=100)";60,9
"TOTAL Totalindeks";"1990M10";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1990M10";"12-måneders endring (prosent)";4,6
"TOTAL Totalindeks";"1990M11";"Konsumprisindeks (2015=100)";60,9
"TOTAL Totalindeks";"1990M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1990M11";"12-måneders endring (prosent)";4,6
"TOTAL Totalindeks";"1990M12";"Konsumprisindeks (2015=100)";60,7
"TOTAL Totalindeks";"1990M12";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"1990M12";"12-måneders endring (prosent)";4,3
"TOTAL Totalindeks";"1991M01";"Konsumprisindeks (2015=100)";61
"TOTAL Totalindeks";"1991M01";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1991M01";"12-måneders endring (prosent)";4,1
"TOTAL Totalindeks";"1991M02";"Konsumprisindeks (2015=100)";61,2
"TOTAL Totalindeks";"1991M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1991M02";"12-måneders endring (prosent)";4,1
"TOTAL Totalindeks";"1991M03";"Konsumprisindeks (2015=100)";61,6
"TOTAL Totalindeks";"1991M03";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1991M03";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"1991M04";"Konsumprisindeks (2015=100)";61,8
"TOTAL Totalindeks";"1991M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1991M04";"12-måneders endring (prosent)";3,9
"TOTAL Totalindeks";"1991M05";"Konsumprisindeks (2015=100)";61,9
"TOTAL Totalindeks";"1991M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1991M05";"12-måneders endring (prosent)";3,9
"TOTAL Totalindeks";"1991M06";"Konsumprisindeks (2015=100)";62
"TOTAL Totalindeks";"1991M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1991M06";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"1991M07";"Konsumprisindeks (2015=100)";62
"TOTAL Totalindeks";"1991M07";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1991M07";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"1991M08";"Konsumprisindeks (2015=100)";62
"TOTAL Totalindeks";"1991M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1991M08";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"1991M09";"Konsumprisindeks (2015=100)";62,4
"TOTAL Totalindeks";"1991M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1991M09";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"1991M10";"Konsumprisindeks (2015=100)";62,4
"TOTAL Totalindeks";"1991M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1991M10";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"1991M11";"Konsumprisindeks (2015=100)";62,4
"TOTAL Totalindeks";"1991M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1991M11";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"1991M12";"Konsumprisindeks (2015=100)";62,4
"TOTAL Totalindeks";"1991M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1991M12";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"1992M01";"Konsumprisindeks (2015=100)";62,4
"TOTAL Totalindeks";"1992M01";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1992M01";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1992M02";"Konsumprisindeks (2015=100)";62,6
"TOTAL Totalindeks";"1992M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1992M02";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1992M03";"Konsumprisindeks (2015=100)";63,1
"TOTAL Totalindeks";"1992M03";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1992M03";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1992M04";"Konsumprisindeks (2015=100)";63,3
"TOTAL Totalindeks";"1992M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1992M04";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1992M05";"Konsumprisindeks (2015=100)";63,4
"TOTAL Totalindeks";"1992M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1992M05";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1992M06";"Konsumprisindeks (2015=100)";63,5
"TOTAL Totalindeks";"1992M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1992M06";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1992M07";"Konsumprisindeks (2015=100)";63,6
"TOTAL Totalindeks";"1992M07";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1992M07";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1992M08";"Konsumprisindeks (2015=100)";63,4
"TOTAL Totalindeks";"1992M08";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"1992M08";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1992M09";"Konsumprisindeks (2015=100)";63,7
"TOTAL Totalindeks";"1992M09";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1992M09";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1992M10";"Konsumprisindeks (2015=100)";63,8
"TOTAL Totalindeks";"1992M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1992M10";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1992M11";"Konsumprisindeks (2015=100)";63,8
"TOTAL Totalindeks";"1992M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1992M11";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1992M12";"Konsumprisindeks (2015=100)";63,8
"TOTAL Totalindeks";"1992M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1992M12";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1993M01";"Konsumprisindeks (2015=100)";64
"TOTAL Totalindeks";"1993M01";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1993M01";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1993M02";"Konsumprisindeks (2015=100)";64,2
"TOTAL Totalindeks";"1993M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1993M02";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1993M03";"Konsumprisindeks (2015=100)";64,8
"TOTAL Totalindeks";"1993M03";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"1993M03";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"1993M04";"Konsumprisindeks (2015=100)";64,9
"TOTAL Totalindeks";"1993M04";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1993M04";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"1993M05";"Konsumprisindeks (2015=100)";64,9
"TOTAL Totalindeks";"1993M05";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1993M05";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1993M06";"Konsumprisindeks (2015=100)";65
"TOTAL Totalindeks";"1993M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1993M06";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1993M07";"Konsumprisindeks (2015=100)";64,9
"TOTAL Totalindeks";"1993M07";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"1993M07";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1993M08";"Konsumprisindeks (2015=100)";64,8
"TOTAL Totalindeks";"1993M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"1993M08";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1993M09";"Konsumprisindeks (2015=100)";65,1
"TOTAL Totalindeks";"1993M09";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1993M09";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1993M10";"Konsumprisindeks (2015=100)";65,1
"TOTAL Totalindeks";"1993M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1993M10";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1993M11";"Konsumprisindeks (2015=100)";65,1
"TOTAL Totalindeks";"1993M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1993M11";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1993M12";"Konsumprisindeks (2015=100)";65
"TOTAL Totalindeks";"1993M12";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"1993M12";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"1994M01";"Konsumprisindeks (2015=100)";64,9
"TOTAL Totalindeks";"1994M01";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"1994M01";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"1994M02";"Konsumprisindeks (2015=100)";65,1
"TOTAL Totalindeks";"1994M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1994M02";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"1994M03";"Konsumprisindeks (2015=100)";65,4
"TOTAL Totalindeks";"1994M03";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1994M03";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"1994M04";"Konsumprisindeks (2015=100)";65,5
"TOTAL Totalindeks";"1994M04";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1994M04";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"1994M05";"Konsumprisindeks (2015=100)";65,5
"TOTAL Totalindeks";"1994M05";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1994M05";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"1994M06";"Konsumprisindeks (2015=100)";65,7
"TOTAL Totalindeks";"1994M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1994M06";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"1994M07";"Konsumprisindeks (2015=100)";65,8
"TOTAL Totalindeks";"1994M07";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1994M07";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"1994M08";"Konsumprisindeks (2015=100)";65,8
"TOTAL Totalindeks";"1994M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1994M08";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"1994M09";"Konsumprisindeks (2015=100)";66,2
"TOTAL Totalindeks";"1994M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1994M09";"12-måneders endring (prosent)";1,7
"TOTAL Totalindeks";"1994M10";"Konsumprisindeks (2015=100)";66,2
"TOTAL Totalindeks";"1994M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1994M10";"12-måneders endring (prosent)";1,7
"TOTAL Totalindeks";"1994M11";"Konsumprisindeks (2015=100)";66,2
"TOTAL Totalindeks";"1994M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1994M11";"12-måneders endring (prosent)";1,7
"TOTAL Totalindeks";"1994M12";"Konsumprisindeks (2015=100)";66,2
"TOTAL Totalindeks";"1994M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1994M12";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"1995M01";"Konsumprisindeks (2015=100)";66,6
"TOTAL Totalindeks";"1995M01";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1995M01";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1995M02";"Konsumprisindeks (2015=100)";66,8
"TOTAL Totalindeks";"1995M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1995M02";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1995M03";"Konsumprisindeks (2015=100)";67,2
"TOTAL Totalindeks";"1995M03";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1995M03";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"1995M04";"Konsumprisindeks (2015=100)";67,2
"TOTAL Totalindeks";"1995M04";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1995M04";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1995M05";"Konsumprisindeks (2015=100)";67,3
"TOTAL Totalindeks";"1995M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1995M05";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"1995M06";"Konsumprisindeks (2015=100)";67,5
"TOTAL Totalindeks";"1995M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1995M06";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"1995M07";"Konsumprisindeks (2015=100)";67,4
"TOTAL Totalindeks";"1995M07";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1995M07";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1995M08";"Konsumprisindeks (2015=100)";67,3
"TOTAL Totalindeks";"1995M08";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1995M08";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1995M09";"Konsumprisindeks (2015=100)";67,7
"TOTAL Totalindeks";"1995M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1995M09";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1995M10";"Konsumprisindeks (2015=100)";67,7
"TOTAL Totalindeks";"1995M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1995M10";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1995M11";"Konsumprisindeks (2015=100)";67,6
"TOTAL Totalindeks";"1995M11";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1995M11";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1995M12";"Konsumprisindeks (2015=100)";67,6
"TOTAL Totalindeks";"1995M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1995M12";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1996M01";"Konsumprisindeks (2015=100)";67,3
"TOTAL Totalindeks";"1996M01";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"1996M01";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"1996M02";"Konsumprisindeks (2015=100)";67,4
"TOTAL Totalindeks";"1996M02";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1996M02";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"1996M03";"Konsumprisindeks (2015=100)";67,7
"TOTAL Totalindeks";"1996M03";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1996M03";"12-måneders endring (prosent)";0,7
"TOTAL Totalindeks";"1996M04";"Konsumprisindeks (2015=100)";67,9
"TOTAL Totalindeks";"1996M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1996M04";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"1996M05";"Konsumprisindeks (2015=100)";68
"TOTAL Totalindeks";"1996M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1996M05";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"1996M06";"Konsumprisindeks (2015=100)";68,1
"TOTAL Totalindeks";"1996M06";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1996M06";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"1996M07";"Konsumprisindeks (2015=100)";68,3
"TOTAL Totalindeks";"1996M07";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1996M07";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"1996M08";"Konsumprisindeks (2015=100)";68,3
"TOTAL Totalindeks";"1996M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1996M08";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"1996M09";"Konsumprisindeks (2015=100)";68,6
"TOTAL Totalindeks";"1996M09";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1996M09";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"1996M10";"Konsumprisindeks (2015=100)";68,9
"TOTAL Totalindeks";"1996M10";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1996M10";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"1996M11";"Konsumprisindeks (2015=100)";68,8
"TOTAL Totalindeks";"1996M11";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1996M11";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"1996M12";"Konsumprisindeks (2015=100)";68,8
"TOTAL Totalindeks";"1996M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1996M12";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"1997M01";"Konsumprisindeks (2015=100)";69,3
"TOTAL Totalindeks";"1997M01";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1997M01";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"1997M02";"Konsumprisindeks (2015=100)";69,6
"TOTAL Totalindeks";"1997M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1997M02";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"1997M03";"Konsumprisindeks (2015=100)";69,7
"TOTAL Totalindeks";"1997M03";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1997M03";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"1997M04";"Konsumprisindeks (2015=100)";69,7
"TOTAL Totalindeks";"1997M04";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1997M04";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"1997M05";"Konsumprisindeks (2015=100)";69,8
"TOTAL Totalindeks";"1997M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1997M05";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"1997M06";"Konsumprisindeks (2015=100)";70
"TOTAL Totalindeks";"1997M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1997M06";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"1997M07";"Konsumprisindeks (2015=100)";69,9
"TOTAL Totalindeks";"1997M07";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1997M07";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1997M08";"Konsumprisindeks (2015=100)";69,8
"TOTAL Totalindeks";"1997M08";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1997M08";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1997M09";"Konsumprisindeks (2015=100)";70,2
"TOTAL Totalindeks";"1997M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1997M09";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1997M10";"Konsumprisindeks (2015=100)";70,3
"TOTAL Totalindeks";"1997M10";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1997M10";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1997M11";"Konsumprisindeks (2015=100)";70,4
"TOTAL Totalindeks";"1997M11";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1997M11";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1997M12";"Konsumprisindeks (2015=100)";70,4
"TOTAL Totalindeks";"1997M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1997M12";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1998M01";"Konsumprisindeks (2015=100)";70,7
"TOTAL Totalindeks";"1998M01";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1998M01";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1998M02";"Konsumprisindeks (2015=100)";71
"TOTAL Totalindeks";"1998M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1998M02";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"1998M03";"Konsumprisindeks (2015=100)";71,4
"TOTAL Totalindeks";"1998M03";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1998M03";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1998M04";"Konsumprisindeks (2015=100)";71,4
"TOTAL Totalindeks";"1998M04";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1998M04";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1998M05";"Konsumprisindeks (2015=100)";71,3
"TOTAL Totalindeks";"1998M05";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1998M05";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1998M06";"Konsumprisindeks (2015=100)";71,5
"TOTAL Totalindeks";"1998M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1998M06";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1998M07";"Konsumprisindeks (2015=100)";71,5
"TOTAL Totalindeks";"1998M07";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1998M07";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1998M08";"Konsumprisindeks (2015=100)";71,3
"TOTAL Totalindeks";"1998M08";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"1998M08";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1998M09";"Konsumprisindeks (2015=100)";71,9
"TOTAL Totalindeks";"1998M09";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1998M09";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1998M10";"Konsumprisindeks (2015=100)";71,9
"TOTAL Totalindeks";"1998M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1998M10";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1998M11";"Konsumprisindeks (2015=100)";72
"TOTAL Totalindeks";"1998M11";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1998M11";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"1998M12";"Konsumprisindeks (2015=100)";72,1
"TOTAL Totalindeks";"1998M12";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1998M12";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1999M01";"Konsumprisindeks (2015=100)";72,4
"TOTAL Totalindeks";"1999M01";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1999M01";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"1999M02";"Konsumprisindeks (2015=100)";72,5
"TOTAL Totalindeks";"1999M02";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1999M02";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"1999M03";"Konsumprisindeks (2015=100)";73
"TOTAL Totalindeks";"1999M03";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1999M03";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"1999M04";"Konsumprisindeks (2015=100)";73,2
"TOTAL Totalindeks";"1999M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1999M04";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"1999M05";"Konsumprisindeks (2015=100)";73,1
"TOTAL Totalindeks";"1999M05";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"1999M05";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"1999M06";"Konsumprisindeks (2015=100)";73,2
"TOTAL Totalindeks";"1999M06";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"1999M06";"12-måneders endring (prosent)";2,4
