"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1981M05";"Konsumprisindeks (2015=100)";32,2
"TOTAL Totalindeks";"1981M05";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1981M05";"12-måneders endring (prosent)";13,8
"TOTAL Totalindeks";"1981M06";"Konsumprisindeks (2015=100)";32,6
"TOTAL Totalindeks";"1981M06";"Månedsendring (prosent)";1,2
"TOTAL Totalindeks";"1981M06";"12-måneders endring (prosent)";13,6
"TOTAL Totalindeks";"1981M07";"Konsumprisindeks (2015=100)";33,1
"TOTAL Totalindeks";"1981M07";"Månedsendring (prosent)";1,5
"TOTAL Totalindeks";"1981M07";"12-måneders endring (prosent)";14,1
"TOTAL Totalindeks";"1981M08";"Konsumprisindeks (2015=100)";33,1
"TOTAL Totalindeks";"1981M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1981M08";"12-måneders endring (prosent)";13,4
"TOTAL Totalindeks";"1981M09";"Konsumprisindeks (2015=100)";33,4
"TOTAL Totalindeks";"1981M09";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"1981M09";"12-måneders endring (prosent)";13,2
"TOTAL Totalindeks";"1981M10";"Konsumprisindeks (2015=100)";33,5
"TOTAL Totalindeks";"1981M10";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1981M10";"12-måneders endring (prosent)";12,8
"TOTAL Totalindeks";"1981M11";"Konsumprisindeks (2015=100)";33,6
"TOTAL Totalindeks";"1981M11";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1981M11";"12-måneders endring (prosent)";12,4
"TOTAL Totalindeks";"1981M12";"Konsumprisindeks (2015=100)";33,7
"TOTAL Totalindeks";"1981M12";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1981M12";"12-måneders endring (prosent)";12
"TOTAL Totalindeks";"1982M01";"Konsumprisindeks (2015=100)";34,8
"TOTAL Totalindeks";"1982M01";"Månedsendring (prosent)";3,3
"TOTAL Totalindeks";"1982M01";"12-måneders endring (prosent)";12,3
"TOTAL Totalindeks";"1982M02";"Konsumprisindeks (2015=100)";35
"TOTAL Totalindeks";"1982M02";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1982M02";"12-måneders endring (prosent)";11,8
"TOTAL Totalindeks";"1982M03";"Konsumprisindeks (2015=100)";35,6
"TOTAL Totalindeks";"1982M03";"Månedsendring (prosent)";1,7
"TOTAL Totalindeks";"1982M03";"12-måneders endring (prosent)";11,6
"TOTAL Totalindeks";"1982M04";"Konsumprisindeks (2015=100)";35,7
"TOTAL Totalindeks";"1982M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1982M04";"12-måneders endring (prosent)";11,2
"TOTAL Totalindeks";"1982M05";"Konsumprisindeks (2015=100)";35,8
"TOTAL Totalindeks";"1982M05";"Månedsendring (prosent)";0,3
