07459: Befolkning, etter region, statistikkvariabel, år og alder;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Personer;;;;;;;;;;;;;;;;;;;;
;2023;;;;;;;;;;;;;;;;;;;;
;0-4 år;5-9 år;10-14 år;15-19 år;20-24 år;25-29 år;30-34 år;35-39 år;40-44 år;45-49 år;50-54 år;55-59 år;60-64 år;65-69 år;70-74 år;75-79 år;80-84 år;85-89 år;90-94 år;95-99 år;100 år eller eldre
K-1539 Rauma;325;413;448;413;330;356;443;402;393;438;498;485;441;425;451;346;209;137;67;23;3
K-1547 Aukra;169;212;270;266;228;185;240;232;253;225;225;212;182;195;180;180;99;59;34;8;0
K-1554 Averøy;268;295;374;393;286;303;315;348;353;387;411;419;377;389;349;284;181;81;39;17;3
K-1557 Gjemnes;123;157;156;209;138;118;152;159;161;161;162;161;178;174;182;156;64;39;15;3;1
K-1560 Tingvoll;123;140;178;175;161;134;171;149;158;190;251;194;223;212;179;185;108;62;27;7;4
K-1563 Sunndal;321;409;356;438;378;408;420;397;355;365;545;507;556;504;389;310;219;125;77;29;2
K-1566 Surnadal;296;314;312;330;340;337;322;299;295;335;448;405;401;394;373;327;229;94;43;16;2
K-1573 Smøla;108;81;123;105;113;126;132;115;107;126;147;153;153;162;150;119;69;40;24;4;1
K-1576 Aure;140;154;180;187;181;148;154;184;201;191;277;242;235;253;235;211;106;59;30;13;0
K-1577 Volda;585;574;645;698;1064;794;660;649;608;580;650;611;632;591;555;460;290;193;86;30;5
K-1578 Fjord;83;103;157;184;142;96;103;116;142;137;173;177;214;155;160;143;101;63;31;11;3
K-1579 Hustadvika;670;801;853;925;727;726;807;864;849;815;910;855;794;797;737;579;347;180;81;21;3
K-5001 Trondheim - Tråante;10614;11256;11818;11672;18776;19886;18081;15079;13864;13175;13264;12161;10429;9613;8321;7054;4054;2155;1060;300;28
K-5006 Steinkjer;1120;1310;1447;1444;1341;1285;1514;1273;1323;1329;1664;1696;1587;1544;1373;1215;773;433;221;52;11
K-5007 Namsos;665;806;919;950;986;886;861;853;786;848;1047;1067;932;911;874;726;414;244;112;32;4
K-5014 Frøya;331;301;301;228;329;440;468;399;356;317;382;306;322;279;226;191;98;76;33;5;3
K-5020 Osen;42;32;47;49;40;45;33;44;42;55;48;57;74;83;72;68;38;21;10;3;1
K-5021 Oppdal;378;413;459;435;404;363;428;441;389;426;512;498;461;440;407;379;224;120;65;13;1
K-5022 Rennebu;129;129;119;151;126;139;120;112;99;146;198;184;154;181;170;165;84;47;20;7;1
K-5025 Røros - Rosse;253;259;290;285;277;316;309;320;303;343;389;365;432;392;404;338;175;95;40;12;1
K-5026 Holtålen;92;75;107;117;99;113;108;86;103;104;147;171;121;146;120;133;108;32;15;0;0
K-5027 Midtre Gauldal;334;367;367;313;345;366;424;367;329;366;413;438;400;327;329;283;190;95;57;21;2
K-5028 Melhus;940;1093;1138;1156;1001;1031;1147;1144;1082;1239;1214;1101;927;842;778;686;441;239;113;26;2
K-5029 Skaun;455;640;674;564;408;443;578;595;590;573;602;525;433;409;337;298;162;84;53;17;1
K-5031 Malvik;846;1027;1061;971;800;733;933;1073;1057;1007;1172;956;801;650;563;495;281;155;60;19;2
K-5032 Selbu;216;208;213;265;237;200;221;234;253;255;280;309;256;280;223;208;149;78;43;16;0
K-5033 Tydal;27;38;32;34;32;31;41;38;29;36;46;60;79;68;40;49;31;26;15;1;0
K-5034 Meråker;114;125;129;127;112;128;139;122;142;144;179;178;168;182;160;126;82;35;25;7;2
K-5035 Stjørdal;1181;1454;1654;1650;1432;1386;1466;1470;1479;1598;1839;1682;1380;1351;1272;1081;651;349;129;35;2
K-5036 Frosta;128;141;151;150;149;147;141;134;154;154;183;188;200;166;144;137;90;58;23;7;0
K-5037 Levanger;1067;1217;1260;1331;1304;1218;1267;1218;1189;1140;1303;1423;1200;1212;1059;896;543;315;147;28;7
K-5038 Verdal;715;773;914;985;876;971;867;825;873;941;1114;970;924;871;891;798;369;203;95;25;2
K-5041 Snåase - Snåsa;110;103;114;136;108;81;109;111;95;104;122;162;152;125;118;104;92;47;23;4;1
K-5042 Lierne;42;59;58;77;97;41;54;63;68;78;101;93;86;106;96;77;55;27;13;4;0
K-5043 Raarvihke - Røyrvik;13;22;21;31;17;15;28;27;11;21;27;24;36;35;35;31;19;8;6;2;0
K-5044 Namsskogan;27;33;55;38;45;44;25;37;46;43;63;66;59;57;43;54;40;28;9;2;0
K-5045 Grong;107;131;150;136;115;115;120;133;102;132;147;171;159;154;144;110;79;60;23;7;1
K-5046 Høylandet;48;58;84;100;72;47;37;72;54;86;86;66;73;89;92;68;49;21;13;1;0
K-5047 Overhalla;201;275;291;237;202;235;259;250;223;230;243;226;241;237;184;152;93;56;29;8;1
K-5049 Flatanger;56;46;48;46;64;65;65;50;49;54;70;86;103;94;71;64;44;22;9;1;1
K-5052 Leka;33;28;28;29;22;29;32;24;19;27;41;41;49;44;39;51;23;14;5;4;0
K-5053 Inderøy;337;407;430;440;397;313;384;408;401;379;467;473;433;430;444;351;175;114;44;12;2
K-5054 Indre Fosen;429;548;611;653;543;485;506;508;525;664;715;747;596;666;595;565;313;203;82;22;1
K-5055 Heim;226;327;339;328;359;293;333;304;307;318;410;401;410;409;374;339;219;105;62;16;1
K-5056 Hitra;275;261;259;287;298;360;389;356;318;363;353;361;324;279;264;269;147;75;39;3;1
K-5057 Ørland;543;595;636;572;630;692;710;625;496;575;691;724;658;644;532;504;343;191;84;25;2
K-5058 Åfjord;236;242;180;230;225;250;266;163;171;247;337;319;293;285;282;237;149;92;41;7;0
K-5059 Orkland;865;1050;1149;1119;1018;1001;1153;1156;1117;1108;1285;1297;1228;1168;1080;862;542;290;151;43;8
K-5060 Nærøysund;579;599;621;568;616;628;654;618;542;572;706;657;599;520;493;399;277;152;76;13;1
K-5061 Rindal;88;105;112;114;122;95;89;107;92;126;136;148;114;116;142;108;66;46;20;11;0
K-1804 Bodø;2624;2925;3216;3151;3493;3983;4072;3528;3456;3351;3669;3474;2950;2798;2319;1940;1243;689;295;78;5
K-1806 Narvik;962;1065;1193;1178;1193;1381;1464;1245;1220;1216;1402;1544;1454;1502;1213;1011;658;370;195;44;5
K-1811 Bindal;59;68;78;82;55;50;58;58;72;67;97;89;118;111;130;87;62;30;16;4;0
K-1812 Sømna;75;89;117;142;106;96;114;95;114;122;135;156;132;128;122;102;67;39;13;6;0
K-1813 Brønnøy;331;444;503;498;408;425;496;461;434;449;613;592;519;456;409;352;199;126;58;12;2
K-1815 Vega;53;52;66;78;59;54;52;61;41;73;105;92;100;91;84;71;52;21;8;6;0
K-1816 Vevelstad;20;18;28;19;21;23;18;20;24;28;28;39;24;38;32;41;21;3;7;2;0
K-1818 Herøy (Nordland);95;106;104;105;61;96;122;130;106;91;110;144;144;118;106;95;62;31;8;4;1
K-1820 Alstahaug;334;394;404;421;400;430;477;442;375;398;575;518;467;480;447;360;204;117;43;13;1
K-1822 Leirfjord;133;177;136;108;87;103;150;148;140;134;123;159;158;172;125;98;54;30;24;9;2
K-1824 Vefsn;609;677;746;772;760;855;850;799;680;753;987;986;887;788;755;626;431;237;114;28;2
K-1825 Grane;69;58;81;79;85;61;93;67;68;83;104;115;97;92;91;89;71;29;17;3;2
K-1826 Hattfjelldal;46;58;69;77;69;59;58;63;46;85;89;96;91;80;89;93;55;35;14;4;2
K-1827 Dønna;52;61;82;83;79;58;72;58;73;67;115;97;115;108;107;79;45;27;12;1;0
K-1828 Nesna;79;80;104;113;107;95;96;102;95;135;118;128;135;116;95;94;45;35;8;3;0
K-1832 Hemnes;210;236;236;255;236;250;288;251;222;252;309;329;296;262;265;249;156;95;46;15;1
K-1833 Rana;1174;1327;1531;1520;1488;1732;1761;1543;1443;1482;1871;1886;1694;1572;1316;1206;726;414;222;64;8
K-1834 Lurøy;67;99;110;85;88;99;122;108;89;110;133;138;115;136;106;102;72;49;22;2;0
K-1835 Træna;17;15;18;33;23;41;22;33;35;30;39;29;30;24;19;22;7;4;3;0;0
K-1836 Rødøy;37;72;63;82;76;47;56;59;46;59;99;71;76;85;75;69;35;20;9;3;0
K-1837 Meløy;264;359;391;369;347;355;362;351;321;338;455;462;398;388;357;311;187;112;66;18;1
K-1838 Gildeskål;72;82;100;94;91;70;87;100;127;112;127;148;151;173;148;118;64;43;16;5;0
K-1839 Beiarn;43;51;41;37;43;40;53;47;62;38;72;84;81;86;77;67;54;32;16;3;0
K-1840 Saltdal;203;260;290;264;191;213;272;263;261;264;316;348;295;343;317;265;153;84;36;9;3
K-1841 Fauske - Fuosko;417;468;486;548;531;558;580;539;537;599;703;656;637;670;569;503;328;155;73;13;2
K-1845 Sørfold;76;78;82;113;93;92;93;92;89;108;147;136;128;122;144;126;73;33;15;5;0
K-1848 Steigen;123;139;128;152;113;154;166;146;143;152;191;172;191;191;184;159;84;50;26;1;0
K-1851 Lødingen;66;69;117;89;95;81;72;83;91;106;158;145;173;185;136;142;97;45;24;10;1
K-1853 Evenes - Evenássi;43;46;69;62;88;56;55;58;77;78;98;86;89;109;110;96;42;27;15;4;2
K-1856 Røst;20;12;24;22;26;25;21;15;33;31;40;44;36;37;33;18;15;11;4;2;0
K-1857 Værøy;22;40;36;37;26;35;53;39;40;41;54;61;41;40;45;28;26;16;7;1;0
K-1859 Flakstad;48;50;47;62;77;57;70;65;63;65;72;105;101;79;92;68;44;36;14;5;0
K-1860 Vestvågøy;577;665;718;708;667;790;763;688;664;638;786;753;724;684;635;498;292;182;93;24;2
K-1865 Vågan;444;535;520;577;551;598;646;611;647;653;679;631;569;619;574;416;262;127;61;15;1
K-1866 Hadsel;396;446;447;451;450;477;548;461;434;465;581;568;522;516;498;438;263;142;63;16;2
K-1867 Bø;105;105;114;112;134;131;115;122;110;132;190;205;213;215;157;167;122;86;36;11;2
K-1868 Øksnes;196;236;229;246;251;255;292;288;241;286;350;349;304;279;247;219;115;95;44;8;3
K-1870 Sortland - Suortá;526;610;682;628;649;667;685;602;653;638;743;724;623;623;550;483;268;125;63;19;0
K-1871 Andøy;183;216;222;245;248;286;263;228;223;231;312;359;311;307;306;300;175;116;29;15;2
K-1874 Moskenes;27;24;37;42;46;48;69;58;80;63;75;73;73;65;54;54;38;35;14;4;0
K-1875 Hamarøy;107;97;134;168;117;124;145;171;147;152;148;208;210;194;199;166;119;39;23;10;4
K-5401 Tromsø;3923;4074;4428;4454;5681;6896;6643;5497;5072;5147;5374;4934;4100;3692;3082;2445;1440;722;304;75;9
K-5402 Harstad;1241;1255;1461;1448;1444;1535;1797;1437;1516;1562;1688;1600;1512;1545;1374;1181;681;392;186;45;3
K-5403 Alta;1274;1347;1383;1348;1617;1650;1592;1357;1163;1303;1565;1355;1082;996;916;650;394;215;96;14;0
K-5404 Vardø;51;73;92;86;106;107;126;102;110;128;131;175;128;162;141;106;49;27;30;3;0
K-5405 Vadsø;241;251;287;356;363;358;363;284;268;347;471;463;380;285;306;273;155;93;44;5;0
K-5406 Hammerfest;521;623;660;651;712;898;892;686;643;684;892;776;654;548;555;446;274;120;56;18;1
K-5411 Kvæfjord;131;128;158;179;132;150;185;167;121;181;206;205;210;206;179;160;85;52;23;8;0
K-5412 Tjeldsund;167;180;238;222;199;204;201;208;234;255;293;300;313;306;315;274;169;77;35;16;0
K-5413 Ibestad;28;49;51;55;80;44;67;59;49;68;73;118;106;104;105;89;71;33;25;5;0
K-5414 Gratangen;36;50;56;60;66;44;55;49;55;64;89;92;76;75;63;58;49;20;18;3;1
K-5415 Loabák - Lavangen;35;46;77;63;57;32;38;38;49;76;80;68;60;70;62;49;47;15;20;1;0
K-5416 Bardu;173;208;215;245;365;330;233;220;210;240;247;213;200;226;215;193;121;56;27;10;2
K-5417 Salangen;74;80;122;130;115;107;108;79;99;137;158;155;155;127;135;137;79;36;9;4;2
K-5418 Målselv;309;336;384;419;578;494;447;390;328;389;479;423;397;388;368;279;190;120;51;13;0
K-5419 Sørreisa;140;178;211;203;231;190;225;190;199;186;273;252;195;219;185;159;106;53;22;11;0
K-5420 Dyrøy;28;34;60;59;55;46;48;46;46;61;86;67;93;99;75;83;35;24;10;0;1
K-5421 Senja;680;767;929;916;868;875;873;885;799;915;1007;1051;952;926;845;713;458;252;117;23;0
K-5422 Balsfjord;220;248;275;317;327;283;314;277;290;332;449;436;355;354;332;319;199;127;49;14;0
K-5423 Karlsøy;72;99;83;92;116;114;126;105;96;107;146;179;187;169;175;138;84;59;19;4;1
K-5424 Lyngen;80;106;132;150;184;122;112;121;145;156;211;187;196;193;213;184;116;68;28;10;0
K-5425 Storfjord - Omasvuotna - Omasvuono;67;76;84;109;116;94;97;85;85;124;138;116;126;149;163;109;50;32;11;5;0
K-5426 Gáivuotna - Kåfjord - Kaivuono;64;94;86;114;107;96;109;113;75;97;161;144;143;147;161;117;91;56;20;5;0
K-5427 Skjervøy;111;164;148;158;161;186;184;168;184;172;202;182;149;160;143;167;90;43;14;2;2
K-5428 Nordreisa;190;230;310;321;271;302;284;241;265;271;383;308;305;302;291;239;142;63;47;6;1
K-5429 Kvænangen;32;57;52;57;63;46;52;53;54;64;96;90;80;70;90;66;44;33;17;2;0
K-5430 Guovdageaidnu - Kautokeino;129;192;176;170;144;176;168;195;188;176;209;183;188;163;165;109;62;38;12;3;1
K-5432 Loppa;23;37;25;35;41;60;55;46;26;63;67;62;73;65;59;51;41;25;4;4;0
K-5433 Hasvik;33;54;42;41;47;52;67;65;68;58;88;82;59;61;60;44;27;13;7;1;1
K-5434 Måsøy;37;40;50;51;43;54;71;59;75;68;90;88;85;61;91;66;49;28;13;0;0
K-5435 Nordkapp;106;95;139;155;173;215;179;169;141;170;227;260;224;191;188;157;68;44;25;6;0
K-5436 Porsanger - Porsángu - Porsanki ;152;175;195;199;250;232;201;209;193;213;294;321;296;300;237;206;109;58;17;6;0
K-5437 Kárásjohka - Karasjok;106;106;120;152;177;190;159;141;121;143;185;204;200;173;143;108;48;42;21;4;0
K-5438 Lebesby;46;47;59;58;81;72;74;75;61;68;105;106;86;81;74;60;44;17;10;2;0
K-5439 Gamvik;32;50;42;36;51;64;69;78;61;69;105;73;73;64;78;51;36;16;5;1;0
K-5440 Berlevåg;37;29;26;39;41;79;60;50;44;46;66;89;69;65;61;54;29;12;10;2;0
K-5441 Deatnu - Tana;130;114;139;132;167;137;173;138;152;204;245;210;170;192;194;147;95;42;18;4;1
K-5442 Unjárga - Nesseby;28;29;62;27;40;47;42;58;47;48;66;57;59;59;73;53;37;23;6;2;1
K-5443 Båtsfjord;95;93;102;113;147;150;152;147;117;135;180;159;134;109;115;77;57;23;7;5;0
K-5444 Sør-Varanger;431;438;540;549;684;713;687;552;531;622;766;742;634;557;500;416;267;144;60;16;1
K-21-22 Svalbard og Jan Mayen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K-23 Kontinentalsokkelen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K-Rest Delte kommuner og uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
<a href='https://www.ssb.no/offentlig-sektor/kommunekatalog/endringer-i-de-regionale-inndelingene' target='footnote'><b>Se liste over endringer i de regionale inndelingene.</b></a>;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Nordre Follo:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for Tandbergløkka (del av grunnkrets Østensjø) regnet med under K-3020 Ås. Fra 2020 tilhører området 3020 Nordre Follo.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Ås:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for Tandbergløkka (del av grunnkrets Østensjø) regnet med under K-3020 Ås. Fra 2020 tilhører området 3020 Nordre Follo.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Lillestrøm:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Rånåsfoss og deler av Hellesjø regnet med under K-3030 Lillestrøm. Fra 2020 tilhører områdene 3034 Nes.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Nes:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Rånåsfoss og deler av Hellesjø regnet med under K-3030 Lillestrøm. Fra 2020 tilhører områdene 3034 Nes.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Horten:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for Pauliveien og Skoppum regnet med under K-3803 Tønsberg. Fra 2020 tilhører områdene 3801 Horten. Før 2020 er tall for Haugan regnet med under K-3801 Horten. Fra 2020 tilhører området K-3803 Tønsberg.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Holmestrand:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Mulvika regnet med under K-3803 Tønsberg. Fra 2020 tilhører grunnkretsen K-3802 Holmestrand.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Tønsberg:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for Pauliveien og Skoppum regnet med under K-3803 Tønsberg. Fra 2020 tilhører områdene 3801 Horten. Før 2020 er tall for Haugan regnet med under K-3801 Horten. Fra 2020 tilhører området K-3803 Tønsberg.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Tønsberg:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Mulvika regnet med under K-3803 Tønsberg. Fra 2020 tilhører grunnkretsen K-3802 Holmestrand.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Notodden:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Andgard og Hjuksebø regnet med under K-3817 Midt-Telemark. Fra 2020 tilhører grunnkretsene 3808 Notodden.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Midt-Telemark:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Andgard og Hjuksebø regnet med under K-3817 Midt-Telemark. Fra 2020 tilhører grunnkretsene 3808 Notodden.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Stavanger:;;;;;;;;;;;;;;;;;;;;;
Hele tidsserien er beregnet ut fra kommunegrensene i 2020. De tidligere kommunene Finnøy og Rennesøy er dermed medregnet før 2020. <br> Før 2020 er tall for grunnkrets Vestersjø regnet med under K-1133 Hjelmeland. Fra 2020 tilhører grunnkretsen 1103 Stavanger.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Sandnes:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Kolabygda og deler av Sognesand og Forsand regnet med under K-1108 Sandnes. Fra 2020 tilhører områdene 1130 Strand.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Strand:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Kolabygda og deler av Sognesand og Forsand regnet med under K-1108 Sandnes. Fra 2020 tilhører områdene 1130 Strand.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Hjelmeland:;;;;;;;;;;;;;;;;;;;;;
Hele tidsserien er beregnet ut fra kommunegrensene i 2020. De tidligere kommunene Finnøy og Rennesøy er dermed medregnet før 2020. <br> Før 2020 er tall for grunnkrets Vestersjø regnet med under K-1133 Hjelmeland. Fra 2020 tilhører grunnkretsen 1103 Stavanger.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Kinn:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Totland, Bryggja og Maurstad regnet med under K-4602 Kinn. Fra 2020 tilhører grunnkretsene 4649 Stad.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Ullensvang:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Djønno og Tjoflot regnet med under K-4618 Ullensvang. Fra 2020 tilhører grunnkretsene 4621 Voss.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Voss:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Djønno og Tjoflot regnet med under K-4618 Ullensvang. Fra 2020 tilhører grunnkretsene 4621 Voss.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Høyanger:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Nessane regnet med under K-4640 Sogndal. Fra 2020 tilhører grunnkretsen 4638 Høyanger.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Sogndal:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Nessane regnet med under K-4640 Sogndal. Fra 2020 tilhører grunnkretsen 4638 Høyanger.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Stad:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Totland, Bryggja og Maurstad regnet med under K-4602 Kinn. Fra 2020 tilhører grunnkretsene 4649 Stad.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Ålesund:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Orten regnet med under K-1507 Ålesund. Fra 2020 tilhører grunnkretsen 1547 Aukra.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Ørsta:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Bjørke og Viddalen regnet med under K-1520 Ørsta. Fra 2020 tilhører grunnkretsene 1577 Volda.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Aukra:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Orten regnet med under K-1507 Ålesund. Fra 2020 tilhører grunnkretsen 1547 Aukra.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Volda:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkretsene Bjørke og Viddalen regnet med under K-1520 Ørsta. Fra 2020 tilhører grunnkretsene 1577 Volda.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Trondheim - Tråante:;;;;;;;;;;;;;;;;;;;;;
Hele tidsserien er beregnet ut fra kommunegrensene i 2020. Den tidligere kommunen Klæbu er dermed medregnet før 2020.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Steinkjer:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Verrabotn regnet med under K-5006 Steinkjer. Fra 2020 tilhører grunnkretsen 5054 Indre Fosen.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Namsos:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Lund regnet med under K-5060 Nærøysund. Fra 2020 tilhører grunnkretsen 5007 Namsos.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Indre Fosen:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Verrabotn regnet med under K-5006 Steinkjer. Fra 2020 tilhører grunnkretsen 5054 Indre Fosen.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Heim:;;;;;;;;;;;;;;;;;;;;;
5012 Snillfjord ble 1.1.2020 delt mellom de nye kommunene 5055 Heim, 5056 Hitra og 5059 Orkland. Denne tabellen viser ikke historiske tall for disse nye kommunene. Tall for 5012 Snillfjord før 2020 finnes under valget 'Kommuner 2018-2019'.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Hitra:;;;;;;;;;;;;;;;;;;;;;
5012 Snillfjord ble 1.1.2020 delt mellom de nye kommunene 5055 Heim, 5056 Hitra og 5059 Orkland. Denne tabellen viser ikke historiske tall for disse nye kommunene. Tall for 5012 Snillfjord før 2020 finnes under valget 'Kommuner 2018-2019'.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Orkland:;;;;;;;;;;;;;;;;;;;;;
5012 Snillfjord ble 1.1.2020 delt mellom de nye kommunene 5055 Heim, 5056 Hitra og 5059 Orkland. Denne tabellen viser ikke historiske tall for disse nye kommunene. Tall for 5012 Snillfjord før 2020 finnes under valget 'Kommuner 2018-2019'.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Nærøysund:;;;;;;;;;;;;;;;;;;;;;
Før 2020 er tall for grunnkrets Lund regnet med under K-5060 Nærøysund. Fra 2020 tilhører grunnkretsen 5007 Namsos.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Narvik:;;;;;;;;;;;;;;;;;;;;;
1850 Tysfjord ble 1.1.2020 delt mellom de nye kommunene 1806 Narvik og 1875 Hamarøy. Denne tabellen viser ikke historiske tall for disse nye kommunene. Tall for 1850 Tysfjord, 1849 Hamarøy, 1854 Ballangen og 1805 Narvik før 2020 finnes under valget 'Kommuner 2018-2019'.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Hamarøy:;;;;;;;;;;;;;;;;;;;;;
1850 Tysfjord ble 1.1.2020 delt mellom de nye kommunene 1806 Narvik og 1875 Hamarøy. Denne tabellen viser ikke historiske tall for disse nye kommunene. Tall for 1850 Tysfjord, 1849 Hamarøy, 1854 Ballangen og 1805 Narvik før 2020 finnes under valget 'Kommuner 2018-2019'.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
region:;;;;;;;;;;;;;;;;;;;;;
Delte kommuner og uoppgitt:;;;;;;;;;;;;;;;;;;;;;
