"statistikkvariabel"	"region"	"fagutdanning"	"sektor"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"
"Sysselsatte"	"K.3452 Vestre Slidre"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3452 Vestre Slidre"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3452 Vestre Slidre"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3452 Vestre Slidre"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3453 Øystre Slidre"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	3	3	3	..	..	..	0	3	3	6	3	3	3	3	4	3
"Sysselsatte"	"K.3453 Øystre Slidre"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3453 Øystre Slidre"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3453 Øystre Slidre"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3453 Øystre Slidre"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3454 Vang"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	..	..	..	..	..	..	0	0	3	0	0	3	0	0	0	0
"Sysselsatte"	"K.3454 Vang"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3454 Vang"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3454 Vang"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3454 Vang"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3901 Horten"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	12	14	14	15	19	20	22	25	24	25	22	22	23	27	31	28	28
"Sysselsatte"	"K.3901 Horten"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3901 Horten"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3901 Horten"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3901 Horten"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3903 Holmestrand"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	..	..	..	..	..	..	19	18	21	18	18	17	20	24	23	24
"Sysselsatte"	"K.3903 Holmestrand"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3903 Holmestrand"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3903 Holmestrand"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	0	0	0	0	0	0	0	0	3	3	0	3	0	0
"Sysselsatte"	"K.3903 Holmestrand"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3905 Tønsberg"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	23	..	..	..	..	..	38	39	38	43	44	47	51	50	55	47	56
"Sysselsatte"	"K.3905 Tønsberg"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3905 Tønsberg"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	65	65	67	65	62	61	68	64	67	63	65	64	67	61	68	71	74
"Sysselsatte"	"K.3905 Tønsberg"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	3	3	6	5	6	0	3	4	5	5	5	3
"Sysselsatte"	"K.3905 Tønsberg"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3907 Sandefjord"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	32	35	32	35	35	38	37	41	38	40	40	45	40	54	53	63	62
"Sysselsatte"	"K.3907 Sandefjord"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3907 Sandefjord"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3907 Sandefjord"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	3	4	4	4	3	7	5	5	4	4	3	3	3	3	3
"Sysselsatte"	"K.3907 Sandefjord"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3909 Larvik"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	..	..	..	..	..	..	32	31	31	30	32	32	32	19	18	5
"Sysselsatte"	"K.3909 Larvik"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3909 Larvik"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	4	4	4	4	4	..	..	3	3	0	3	0	0	3	0	0	3
"Sysselsatte"	"K.3909 Larvik"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	0	3	0	0	3	3	0	3	3	3
"Sysselsatte"	"K.3909 Larvik"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3911 Færder"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	..	18	20	..	17	17	17	15	18	19	23	22	21	22	21	19
"Sysselsatte"	"K.3911 Færder"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3911 Færder"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	4	4	4	3	..	..	..	3	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3911 Færder"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3911 Færder"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4001 Porsgrunn"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	22	26	25	23	24	24	25	27	28	26	27	34	36	37	37	37	35
"Sysselsatte"	"K.4001 Porsgrunn"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4001 Porsgrunn"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	6	6	6	4	6	5	5	3	3	4	0	0	0	0	0	0	0
"Sysselsatte"	"K.4001 Porsgrunn"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	3	3	0	0	3	0	0	0	0	0
"Sysselsatte"	"K.4001 Porsgrunn"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4003 Skien"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	29	35	30	33	35	35	37	36	34	48	43	47	44	45	49	45	50
"Sysselsatte"	"K.4003 Skien"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4003 Skien"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	74	75	75	79	79	77	79	79	85	74	81	76	76	71	71	70	73
"Sysselsatte"	"K.4003 Skien"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	9	9	7	6	5	10	10	13	15	14	12	12	11	12	10	11	10
"Sysselsatte"	"K.4003 Skien"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4005 Notodden"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	8	8	9	7	9	12	12	11	11	12	12	12	11	12	11	11	11
"Sysselsatte"	"K.4005 Notodden"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4005 Notodden"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	5	3	3	4	4	..	4	4	3	3	3	3	3	3	3	3	3
"Sysselsatte"	"K.4005 Notodden"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4005 Notodden"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4010 Siljan"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	..	..	..	..	..	..	3	0	0	0	0	0	3	0	0	0
"Sysselsatte"	"K.4010 Siljan"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4010 Siljan"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4010 Siljan"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4010 Siljan"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4012 Bamble"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	11	11	11	10	11	11	10	12	12	13	12	13	10	11	15	11	11
"Sysselsatte"	"K.4012 Bamble"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4012 Bamble"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4012 Bamble"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4012 Bamble"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4014 Kragerø"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	7	5	7	7	9	10	9	8	8	8	8	10	8	11	10	15	9
"Sysselsatte"	"K.4014 Kragerø"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4014 Kragerø"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4014 Kragerø"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4014 Kragerø"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4016 Drangedal"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	3	3	..	3	4	3	3	3	0	3	0	3	3	0	0	0
"Sysselsatte"	"K.4016 Drangedal"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4016 Drangedal"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4016 Drangedal"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4016 Drangedal"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4018 Nome"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	4	4	4	3	4	4	5	3	4	5	6	6	6	6	6	6	5
"Sysselsatte"	"K.4018 Nome"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4018 Nome"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4018 Nome"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	3	3	3	3	0	0	0	0	0	0
"Sysselsatte"	"K.4018 Nome"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4020 Midt-Telemark"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	7	7	8	10	9	10	..	7	6	10	9	9	9	11	8	9	9
"Sysselsatte"	"K.4020 Midt-Telemark"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4020 Midt-Telemark"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4020 Midt-Telemark"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	..	..	0	0	0	0	0	0	0	3	0	0
"Sysselsatte"	"K.4020 Midt-Telemark"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4022 Seljord"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	4	3	3	..	3	3	3	3	3	0	0	0	0	3	3	3
"Sysselsatte"	"K.4022 Seljord"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4022 Seljord"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	..	0	..	..	..	..	3	6	3	3	3	3	0	3	0	0
"Sysselsatte"	"K.4022 Seljord"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4022 Seljord"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4024 Hjartdal"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
"Sysselsatte"	"K.4024 Hjartdal"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4024 Hjartdal"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4024 Hjartdal"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4024 Hjartdal"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4026 Tinn"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	3	..	5	4	4	5	7	7	8	7	8	7	8	6	8	6	6
"Sysselsatte"	"K.4026 Tinn"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4026 Tinn"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	4	4	..	..	3	..	..	3	3	3	3	3	0	0	3	3	3
"Sysselsatte"	"K.4026 Tinn"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	..	..	..	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4026 Tinn"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4028 Kviteseid"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	3	..	4	..	3	4	4	4	4	3	3	3	0	3	0	3	3
"Sysselsatte"	"K.4028 Kviteseid"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4028 Kviteseid"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4028 Kviteseid"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4028 Kviteseid"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4030 Nissedal"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	3	4	3	3	3	4	3	3	0	0	3	0	0	3	0	0	0
"Sysselsatte"	"K.4030 Nissedal"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4030 Nissedal"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4030 Nissedal"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4030 Nissedal"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4032 Fyresdal"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	3	3	..	..	3	..	3	3	3	3	0	0	0	0	0	0
"Sysselsatte"	"K.4032 Fyresdal"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4032 Fyresdal"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4032 Fyresdal"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	3	3	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4032 Fyresdal"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4034 Tokke"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	3	4	4	4	3	4	3	3	3	3	3	4	4	4	4	5	4
"Sysselsatte"	"K.4034 Tokke"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4034 Tokke"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4034 Tokke"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4034 Tokke"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4036 Vinje"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	6	5	6	6	5	5	5	7	7	7	13	10	10	12	10	14	13
"Sysselsatte"	"K.4036 Vinje"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4036 Vinje"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4036 Vinje"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	0	0	3	0	0	0	3	0	0	0
"Sysselsatte"	"K.4036 Vinje"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4201 Risør"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	4	4	5	4	4	5	6	6	5	6	5	6	6	6	7	7	7
"Sysselsatte"	"K.4201 Risør"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4201 Risør"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4201 Risør"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4201 Risør"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4202 Grimstad"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	9	9	9	12	11	10	11	12	15	19	17	21	21	26	22	21	22
"Sysselsatte"	"K.4202 Grimstad"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4202 Grimstad"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3
"Sysselsatte"	"K.4202 Grimstad"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4202 Grimstad"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4203 Arendal"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	23	20	20	20	23	22	27	29	28	29	32	36	36	35	39	35	35
"Sysselsatte"	"K.4203 Arendal"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4203 Arendal"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	28	33	37	36	34	36	37	37	36	36	38	40	35	33	35	34	35
"Sysselsatte"	"K.4203 Arendal"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4203 Arendal"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4204 Kristiansand"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	70	75	70	74	78	77	77	80	80	87	97	107	107	117	112	110	109
"Sysselsatte"	"K.4204 Kristiansand"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4204 Kristiansand"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	54	64	60	77	77	79	88	79	70	73	73	73	75	73	77	81	80
"Sysselsatte"	"K.4204 Kristiansand"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	..	..	..	..	3	6	4	6	0	3	3	3	3	3
"Sysselsatte"	"K.4204 Kristiansand"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4205 Lindesnes"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	14	..	..	..	..	..	..	18	22	20	21	19	15	17	23	21	21
"Sysselsatte"	"K.4205 Lindesnes"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4205 Lindesnes"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4205 Lindesnes"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4205 Lindesnes"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4206 Farsund"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	4	5	5	5	5	5	5	5	5	7	5	6	7	9	11	7	6
"Sysselsatte"	"K.4206 Farsund"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4206 Farsund"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4206 Farsund"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.4206 Farsund"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
