"14061: Boligøkonomi. Husholdninger, etter statistikkvariabel, inntektsgruppe og år"

"statistikkvariabel";"inntektsgruppe";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Boutgifter utgjør under 10 prosent av inntekt (prosent)";"Laveste inntektskvartil";11.4;14.5;12.8;13.6;14.2;12.6;11.0;9.3;9.0;9.4;7.1;3.7;4.9
"Boutgifter utgjør under 10 prosent av inntekt (prosent)";"Andre inntektskvartil";17.9;24.8;21.3;22.1;22.0;23.8;19.5;22.0;19.5;19.4;16.8;8.4;12.6
"Boutgifter utgjør under 10 prosent av inntekt (prosent)";"Tredje inntektskvartil";20.0;23.0;25.4;23.1;25.9;28.5;26.9;27.8;23.2;22.9;17.1;12.5;15.3
"Boutgifter utgjør under 10 prosent av inntekt (prosent)";"Høyeste inntektskvartil";31.0;32.1;33.4;31.1;35.5;38.2;33.9;37.9;34.5;34.2;27.3;23.9;21.9
"Boutgifter utgjør 10-19 prosent av inntekt (prosent)";"Laveste inntektskvartil";17.0;15.2;14.8;16.9;17.2;15.6;16.0;15.2;15.2;15.3;15.8;11.6;13.3
"Boutgifter utgjør 10-19 prosent av inntekt (prosent)";"Andre inntektskvartil";28.6;26.2;25.8;28.0;29.1;28.0;29.6;28.4;28.1;29.5;29.0;29.2;26.8
"Boutgifter utgjør 10-19 prosent av inntekt (prosent)";"Tredje inntektskvartil";28.0;30.0;28.5;30.0;29.3;26.9;30.6;29.0;29.5;30.5;29.7;32.7;26.1
"Boutgifter utgjør 10-19 prosent av inntekt (prosent)";"Høyeste inntektskvartil";32.4;31.3;30.6;32.3;31.3;30.9;32.9;29.1;32.0;30.3;34.2;32.0;27.8
"Boutgifter utgjør 20-29 prosent av inntekt (prosent)";"Laveste inntektskvartil";19.0;20.8;21.5;19.5;18.6;19.8;20.2;20.3;21.1;19.9;21.2;22.1;18.9
"Boutgifter utgjør 20-29 prosent av inntekt (prosent)";"Andre inntektskvartil";26.6;27.8;28.9;29.0;27.2;28.1;28.0;28.1;27.0;29.0;31.7;32.0;28.8
