"kjønn"	"alder"	"år"	"Andel dagligrøykere (prosent)"	"Andel av-og-til-røykere (prosent)"	"Antall respondenter"
"Kvinner"	"65-79 år"	"2004"	19	6	369
"Kvinner"	"65-79 år"	"2005"	14	6	360
"Kvinner"	"65-79 år"	"2006"	14	4	349
"Kvinner"	"65-79 år"	"2007"	18	5	345
"Kvinner"	"65-79 år"	"2008"	14	5	311
"Kvinner"	"65-79 år"	"2009"	14	3	345
"Kvinner"	"65-79 år"	"2010"	16	2	325
"Kvinner"	"65-79 år"	"2011"	13	5	351
"Kvinner"	"65-79 år"	"2012"	13	6	429
"Kvinner"	"65-79 år"	"2013"	12	3	379
"Kvinner"	"65-79 år"	"2014"	14	4	424
"Kvinner"	"65-79 år"	"2015"	14	3	526
"Kvinner"	"65-79 år"	"2016"	9	3	448
"Kvinner"	"65-79 år"	"2017"	11	3	493
"Kvinner"	"65-79 år"	"2018"	12	4	455
"Kvinner"	"65-79 år"	"2019"	12	3	461
"Kvinner"	"65-79 år"	"2020"	11	4	524
"Kvinner"	"65-79 år"	"2021"	13	3	519
"Kvinner"	"65-79 år"	"2022"	11	4	473
"Kvinner"	"65-79 år"	"2023"	9	3	466
"Kvinner"	"65-79 år"	"2024"	11	4	455
"Kvinner"	"65-79 år"	"2025"	12	3	431
"Menn"	"I alt"	"1973"	52	9	..
"Menn"	"I alt"	"1974"	51	9	..
"Menn"	"I alt"	"1975"	50	8	..
"Menn"	"I alt"	"1976"	47	9	..
"Menn"	"I alt"	"1977"	46	10	..
"Menn"	"I alt"	"1978"	44	10	..
"Menn"	"I alt"	"1979"	44	9	..
"Menn"	"I alt"	"1980"	42	9	..
"Menn"	"I alt"	"1981"	40	8	..
"Menn"	"I alt"	"1982"	41	9	..
"Menn"	"I alt"	"1983"	41	8	..
"Menn"	"I alt"	"1984"	42	8	..
"Menn"	"I alt"	"1985"	41	9	..
"Menn"	"I alt"	"1986"	40	9	..
"Menn"	"I alt"	"1987"	40	9	..
"Menn"	"I alt"	"1988"	40	9	..
"Menn"	"I alt"	"1989"	38	9	..
"Menn"	"I alt"	"1990"	37	9	..
"Menn"	"I alt"	"1991"	37	10	..
"Menn"	"I alt"	"1992"	38	10	991
"Menn"	"I alt"	"1993"	37	12	899
"Menn"	"I alt"	"1994"	35	9	1664
"Menn"	"I alt"	"1995"	33	13	2104
"Menn"	"I alt"	"1996"	33	13	2666
"Menn"	"I alt"	"1997"	35	12	2616
"Menn"	"I alt"	"1998"	34	11	2616
"Menn"	"I alt"	"1999"	32	11	2572
"Menn"	"I alt"	"2000"	31	11	2623
"Menn"	"I alt"	"2001"	30	11	2546
"Menn"	"I alt"	"2002"	28	12	2772
"Menn"	"I alt"	"2003"	27	11	2625
"Menn"	"I alt"	"2004"	26	12	2600
"Menn"	"I alt"	"2005"	26	11	2595
"Menn"	"I alt"	"2006"	24	10	2502
"Menn"	"I alt"	"2007"	20	11	2485
"Menn"	"I alt"	"2008"	20	9	2282
"Menn"	"I alt"	"2009"	21	10	2331
"Menn"	"I alt"	"2010"	19	11	2160
"Menn"	"I alt"	"2011"	16	11	2289
"Menn"	"I alt"	"2012"	16	10	2268
"Menn"	"I alt"	"2013"	15	10	2347
"Menn"	"I alt"	"2014"	14	10	2268
"Menn"	"I alt"	"2015"	14	10	3258
"Menn"	"I alt"	"2016"	13	9	3090
"Menn"	"I alt"	"2017"	12	10	3174
"Menn"	"I alt"	"2018"	12	9	3164
"Menn"	"I alt"	"2019"	9	11	3136
"Menn"	"I alt"	"2020"	9	9	3164
"Menn"	"I alt"	"2021"	9	8	2979
"Menn"	"I alt"	"2022"	8	9	2775
"Menn"	"I alt"	"2023"	8	10	2736
"Menn"	"I alt"	"2024"	8	11	2419
"Menn"	"I alt"	"2025"	7	10	2229
"Menn"	"16-24 år"	"1973"	45	13	..
"Menn"	"16-24 år"	"1974"	43	12	..
"Menn"	"16-24 år"	"1975"	43	11	..
"Menn"	"16-24 år"	"1976"	39	11	..
"Menn"	"16-24 år"	"1977"	40	12	..
"Menn"	"16-24 år"	"1978"	36	13	..
"Menn"	"16-24 år"	"1979"	36	12	..
"Menn"	"16-24 år"	"1980"	34	11	..
"Menn"	"16-24 år"	"1981"	34	9	..
"Menn"	"16-24 år"	"1982"	32	9	..
"Menn"	"16-24 år"	"1983"	31	10	..
"Menn"	"16-24 år"	"1984"	32	11	..
"Menn"	"16-24 år"	"1985"	32	10	..
"Menn"	"16-24 år"	"1986"	32	11	..
"Menn"	"16-24 år"	"1987"	30	10	..
"Menn"	"16-24 år"	"1988"	29	10	..
"Menn"	"16-24 år"	"1989"	26	11	..
"Menn"	"16-24 år"	"1990"	27	12	..
"Menn"	"16-24 år"	"1991"	28	13	..
"Menn"	"16-24 år"	"1992"	29	14	152
"Menn"	"16-24 år"	"1993"	32	15	152
"Menn"	"16-24 år"	"1994"	29	14	263
"Menn"	"16-24 år"	"1995"	29	19	283
"Menn"	"16-24 år"	"1996"	28	16	440
"Menn"	"16-24 år"	"1997"	32	15	423
"Menn"	"16-24 år"	"1998"	32	18	421
"Menn"	"16-24 år"	"1999"	27	18	379
"Menn"	"16-24 år"	"2000"	31	15	409
"Menn"	"16-24 år"	"2001"	24	18	388
"Menn"	"16-24 år"	"2002"	27	19	405
"Menn"	"16-24 år"	"2003"	23	14	412
"Menn"	"16-24 år"	"2004"	26	13	437
"Menn"	"16-24 år"	"2005"	24	17	429
"Menn"	"16-24 år"	"2006"	21	14	390
"Menn"	"16-24 år"	"2007"	12	17	349
"Menn"	"16-24 år"	"2008"	13	13	321
"Menn"	"16-24 år"	"2009"	18	15	311
"Menn"	"16-24 år"	"2010"	10	17	315
"Menn"	"16-24 år"	"2011"	9	18	340
"Menn"	"16-24 år"	"2012"	6	14	339
"Menn"	"16-24 år"	"2013"	8	16	349
"Menn"	"16-24 år"	"2014"	6	14	346
"Menn"	"16-24 år"	"2015"	6	16	600
"Menn"	"16-24 år"	"2016"	6	17	596
"Menn"	"16-24 år"	"2017"	5	16	595
"Menn"	"16-24 år"	"2018"	5	17	568
"Menn"	"16-24 år"	"2019"	2	22	599
"Menn"	"16-24 år"	"2020"	2	17	540
"Menn"	"16-24 år"	"2021"	2	18	524
"Menn"	"16-24 år"	"2022"	3	22	456
"Menn"	"16-24 år"	"2023"	4	18	449
"Menn"	"16-24 år"	"2024"	2	24	338
"Menn"	"16-24 år"	"2025"	1	24	327
"Menn"	"25-34 år"	"1973"	54	11	..
"Menn"	"25-34 år"	"1974"	53	11	..
"Menn"	"25-34 år"	"1975"	53	10	..
"Menn"	"25-34 år"	"1976"	50	12	..
"Menn"	"25-34 år"	"1977"	50	13	..
"Menn"	"25-34 år"	"1978"	50	14	..
"Menn"	"25-34 år"	"1979"	48	13	..
"Menn"	"25-34 år"	"1980"	46	13	..
"Menn"	"25-34 år"	"1981"	43	13	..
"Menn"	"25-34 år"	"1982"	44	12	..
"Menn"	"25-34 år"	"1983"	43	11	..
"Menn"	"25-34 år"	"1984"	44	12	..
"Menn"	"25-34 år"	"1985"	45	13	..
"Menn"	"25-34 år"	"1986"	45	13	..
"Menn"	"25-34 år"	"1987"	44	11	..
"Menn"	"25-34 år"	"1988"	42	11	..
"Menn"	"25-34 år"	"1989"	41	11	..
"Menn"	"25-34 år"	"1990"	41	11	..
"Menn"	"25-34 år"	"1991"	41	12	..
"Menn"	"25-34 år"	"1992"	40	15	185
"Menn"	"25-34 år"	"1993"	39	15	183
"Menn"	"25-34 år"	"1994"	41	11	349
"Menn"	"25-34 år"	"1995"	36	15	460
"Menn"	"25-34 år"	"1996"	34	15	557
"Menn"	"25-34 år"	"1997"	35	15	573
"Menn"	"25-34 år"	"1998"	38	12	549
"Menn"	"25-34 år"	"1999"	33	12	509
"Menn"	"25-34 år"	"2000"	29	15	530
"Menn"	"25-34 år"	"2001"	33	14	492
"Menn"	"25-34 år"	"2002"	27	16	557
"Menn"	"25-34 år"	"2003"	26	15	536
"Menn"	"25-34 år"	"2004"	28	12	511
"Menn"	"25-34 år"	"2005"	24	18	479
"Menn"	"25-34 år"	"2006"	22	15	494
"Menn"	"25-34 år"	"2007"	19	13	415
"Menn"	"25-34 år"	"2008"	17	15	357
"Menn"	"25-34 år"	"2009"	21	17	346
"Menn"	"25-34 år"	"2010"	21	15	298
"Menn"	"25-34 år"	"2011"	16	17	312
"Menn"	"25-34 år"	"2012"	14	16	301
"Menn"	"25-34 år"	"2013"	12	14	317
"Menn"	"25-34 år"	"2014"	11	15	302
"Menn"	"25-34 år"	"2015"	11	14	574
"Menn"	"25-34 år"	"2016"	10	15	493
"Menn"	"25-34 år"	"2017"	9	15	543
"Menn"	"25-34 år"	"2018"	10	13	572
"Menn"	"25-34 år"	"2019"	5	15	539
"Menn"	"25-34 år"	"2020"	5	14	563
"Menn"	"25-34 år"	"2021"	6	10	553
"Menn"	"25-34 år"	"2022"	4	14	489
"Menn"	"25-34 år"	"2023"	5	14	503
"Menn"	"25-34 år"	"2024"	4	18	406
"Menn"	"25-34 år"	"2025"	4	13	374
"Menn"	"35-44 år"	"1973"	56	7	..
"Menn"	"35-44 år"	"1974"	53	8	..
"Menn"	"35-44 år"	"1975"	50	9	..
"Menn"	"35-44 år"	"1976"	48	10	..
"Menn"	"35-44 år"	"1977"	48	12	..
"Menn"	"35-44 år"	"1978"	46	12	..
"Menn"	"35-44 år"	"1979"	44	11	..
"Menn"	"35-44 år"	"1980"	43	10	..
"Menn"	"35-44 år"	"1981"	43	10	..
"Menn"	"35-44 år"	"1982"	45	11	..
"Menn"	"35-44 år"	"1983"	46	11	..
"Menn"	"35-44 år"	"1984"	47	10	..
"Menn"	"35-44 år"	"1985"	45	10	..
"Menn"	"35-44 år"	"1986"	43	11	..
"Menn"	"35-44 år"	"1987"	44	10	..
"Menn"	"35-44 år"	"1988"	45	10	..
"Menn"	"35-44 år"	"1989"	44	11	..
"Menn"	"35-44 år"	"1990"	43	11	..
"Menn"	"35-44 år"	"1991"	42	10	..
"Menn"	"35-44 år"	"1992"	42	9	214
"Menn"	"35-44 år"	"1993"	41	17	193
"Menn"	"35-44 år"	"1994"	43	11	360
"Menn"	"35-44 år"	"1995"	38	14	465
"Menn"	"35-44 år"	"1996"	37	15	547
"Menn"	"35-44 år"	"1997"	37	12	542
"Menn"	"35-44 år"	"1998"	35	11	551
"Menn"	"35-44 år"	"1999"	35	14	545
"Menn"	"35-44 år"	"2000"	36	11	521
"Menn"	"35-44 år"	"2001"	28	13	492
"Menn"	"35-44 år"	"2002"	30	13	538
"Menn"	"35-44 år"	"2003"	31	12	564
"Menn"	"35-44 år"	"2004"	28	14	527
"Menn"	"35-44 år"	"2005"	28	11	528
"Menn"	"35-44 år"	"2006"	24	12	490
"Menn"	"35-44 år"	"2007"	25	11	508
"Menn"	"35-44 år"	"2008"	24	11	484
"Menn"	"35-44 år"	"2009"	20	11	453
"Menn"	"35-44 år"	"2010"	17	11	448
"Menn"	"35-44 år"	"2011"	15	13	424
"Menn"	"35-44 år"	"2012"	16	14	407
"Menn"	"35-44 år"	"2013"	16	11	441
"Menn"	"35-44 år"	"2014"	13	10	384
"Menn"	"35-44 år"	"2015"	13	10	523
"Menn"	"35-44 år"	"2016"	13	7	499
"Menn"	"35-44 år"	"2017"	14	12	491
"Menn"	"35-44 år"	"2018"	11	10	491
"Menn"	"35-44 år"	"2019"	12	10	466
"Menn"	"35-44 år"	"2020"	11	7	483
"Menn"	"35-44 år"	"2021"	7	6	407
"Menn"	"35-44 år"	"2022"	9	6	418
"Menn"	"35-44 år"	"2023"	7	9	413
"Menn"	"35-44 år"	"2024"	9	10	441
"Menn"	"35-44 år"	"2025"	7	8	359
"Menn"	"45-54 år"	"1973"	59	5	..
"Menn"	"45-54 år"	"1974"	59	5	..
"Menn"	"45-54 år"	"1975"	60	6	..
"Menn"	"45-54 år"	"1976"	56	7	..
"Menn"	"45-54 år"	"1977"	52	7	..
"Menn"	"45-54 år"	"1978"	47	7	..
"Menn"	"45-54 år"	"1979"	46	7	..
"Menn"	"45-54 år"	"1980"	46	6	..
"Menn"	"45-54 år"	"1981"	43	5	..
"Menn"	"45-54 år"	"1982"	43	6	..
"Menn"	"45-54 år"	"1983"	42	6	..
"Menn"	"45-54 år"	"1984"	44	7	..
"Menn"	"45-54 år"	"1985"	43	7	..
"Menn"	"45-54 år"	"1986"	43	7	..
"Menn"	"45-54 år"	"1987"	44	7	..
"Menn"	"45-54 år"	"1988"	42	7	..
"Menn"	"45-54 år"	"1989"	40	8	..
"Menn"	"45-54 år"	"1990"	38	8	..
"Menn"	"45-54 år"	"1991"	40	8	..
"Menn"	"45-54 år"	"1992"	46	7	151
"Menn"	"45-54 år"	"1993"	42	11	144
"Menn"	"45-54 år"	"1994"	34	7	259
"Menn"	"45-54 år"	"1995"	35	13	380
"Menn"	"45-54 år"	"1996"	39	10	478
"Menn"	"45-54 år"	"1997"	37	11	502
"Menn"	"45-54 år"	"1998"	37	10	490
"Menn"	"45-54 år"	"1999"	37	8	496
"Menn"	"45-54 år"	"2000"	38	9	497
"Menn"	"45-54 år"	"2001"	36	10	501
"Menn"	"45-54 år"	"2002"	32	12	513
"Menn"	"45-54 år"	"2003"	31	10	429
"Menn"	"45-54 år"	"2004"	27	9	455
"Menn"	"45-54 år"	"2005"	30	7	454
"Menn"	"45-54 år"	"2006"	27	6	432
"Menn"	"45-54 år"	"2007"	26	10	458
"Menn"	"45-54 år"	"2008"	26	9	431
"Menn"	"45-54 år"	"2009"	24	11	487
"Menn"	"45-54 år"	"2010"	24	11	411
"Menn"	"45-54 år"	"2011"	21	8	419
"Menn"	"45-54 år"	"2012"	22	8	442
"Menn"	"45-54 år"	"2013"	18	9	465
"Menn"	"45-54 år"	"2014"	17	10	420
"Menn"	"45-54 år"	"2015"	19	7	582
"Menn"	"45-54 år"	"2016"	16	7	547
"Menn"	"45-54 år"	"2017"	14	6	575
"Menn"	"45-54 år"	"2018"	15	8	571
"Menn"	"45-54 år"	"2019"	12	9	549
"Menn"	"45-54 år"	"2020"	10	7	558
"Menn"	"45-54 år"	"2021"	10	5	496
"Menn"	"45-54 år"	"2022"	10	7	480
"Menn"	"45-54 år"	"2023"	10	6	423
"Menn"	"45-54 år"	"2024"	10	7	396
"Menn"	"45-54 år"	"2025"	11	7	350
"Menn"	"55-64 år"	"1973"	54	7	..
"Menn"	"55-64 år"	"1974"	54	7	..
"Menn"	"55-64 år"	"1975"	52	7	..
"Menn"	"55-64 år"	"1976"	49	6	..
"Menn"	"55-64 år"	"1977"	46	5	..
"Menn"	"55-64 år"	"1978"	46	6	..
"Menn"	"55-64 år"	"1979"	46	6	..
"Menn"	"55-64 år"	"1980"	43	7	..
"Menn"	"55-64 år"	"1981"	41	7	..
"Menn"	"55-64 år"	"1982"	42	6	..
"Menn"	"55-64 år"	"1983"	45	4	..
"Menn"	"55-64 år"	"1984"	47	4	..
"Menn"	"55-64 år"	"1985"	43	4	..
"Menn"	"55-64 år"	"1986"	42	4	..
"Menn"	"55-64 år"	"1987"	41	5	..
"Menn"	"55-64 år"	"1988"	43	6	..
"Menn"	"55-64 år"	"1989"	41	7	..
"Menn"	"55-64 år"	"1990"	37	7	..
"Menn"	"55-64 år"	"1991"	34	7	..
"Menn"	"55-64 år"	"1992"	36	7	122
"Menn"	"55-64 år"	"1993"	40	7	106
"Menn"	"55-64 år"	"1994"	34	6	197
"Menn"	"55-64 år"	"1995"	30	10	237
"Menn"	"55-64 år"	"1996"	31	11	323
"Menn"	"55-64 år"	"1997"	30	9	305
"Menn"	"55-64 år"	"1998"	27	6	296
"Menn"	"55-64 år"	"1999"	28	8	307
"Menn"	"55-64 år"	"2000"	26	9	329
"Menn"	"55-64 år"	"2001"	31	6	339
"Menn"	"55-64 år"	"2002"	28	10	423
"Menn"	"55-64 år"	"2003"	28	10	348
"Menn"	"55-64 år"	"2004"	25	10	335
"Menn"	"55-64 år"	"2005"	29	8	375
"Menn"	"55-64 år"	"2006"	30	7	366
"Menn"	"55-64 år"	"2007"	22	8	437
"Menn"	"55-64 år"	"2008"	24	5	391
"Menn"	"55-64 år"	"2009"	23	5	401
"Menn"	"55-64 år"	"2010"	23	8	388
"Menn"	"55-64 år"	"2011"	23	8	425
"Menn"	"55-64 år"	"2012"	19	9	393
"Menn"	"55-64 år"	"2013"	20	6	410
"Menn"	"55-64 år"	"2014"	22	9	404
"Menn"	"55-64 år"	"2015"	17	6	503
"Menn"	"55-64 år"	"2016"	17	6	482
"Menn"	"55-64 år"	"2017"	16	6	461
"Menn"	"55-64 år"	"2018"	15	5	479
"Menn"	"55-64 år"	"2019"	12	6	456
"Menn"	"55-64 år"	"2020"	17	7	510
"Menn"	"55-64 år"	"2021"	15	6	501
"Menn"	"55-64 år"	"2022"	12	6	423
"Menn"	"55-64 år"	"2023"	14	7	453
"Menn"	"55-64 år"	"2024"	12	6	394
"Menn"	"55-64 år"	"2025"	13	4	377
"Menn"	"65-79 år"	"1973"	41	10	..
"Menn"	"65-79 år"	"1974"	41	9	..
"Menn"	"65-79 år"	"1975"	41	7	..
"Menn"	"65-79 år"	"1976"	38	7	..
"Menn"	"65-79 år"	"1977"	38	7	..
"Menn"	"65-79 år"	"1978"	38	6	..
"Menn"	"65-79 år"	"1979"	40	5	..
"Menn"	"65-79 år"	"1980"	38	5	..
"Menn"	"65-79 år"	"1981"	38	4	..
"Menn"	"65-79 år"	"1982"	38	5	..
"Menn"	"65-79 år"	"1983"	39	4	..
"Menn"	"65-79 år"	"1984"	38	4	..
"Menn"	"65-79 år"	"1985"	36	5	..
"Menn"	"65-79 år"	"1986"	36	5	..
"Menn"	"65-79 år"	"1987"	37	6	..
"Menn"	"65-79 år"	"1988"	37	5	..
"Menn"	"65-79 år"	"1989"	36	5	..
"Menn"	"65-79 år"	"1990"	32	4	..
"Menn"	"65-79 år"	"1991"	28	6	..
"Menn"	"65-79 år"	"1992"	30	7	167
"Menn"	"65-79 år"	"1993"	25	5	121
"Menn"	"65-79 år"	"1994"	22	7	236
"Menn"	"65-79 år"	"1995"	25	8	279
"Menn"	"65-79 år"	"1996"	26	5	321
"Menn"	"65-79 år"	"1997"	32	3	271
"Menn"	"65-79 år"	"1998"	27	4	309
"Menn"	"65-79 år"	"1999"	24	3	336
"Menn"	"65-79 år"	"2000"	22	6	337
"Menn"	"65-79 år"	"2001"	24	3	334
"Menn"	"65-79 år"	"2002"	22	4	336
"Menn"	"65-79 år"	"2003"	22	3	336
"Menn"	"65-79 år"	"2004"	20	10	335
"Menn"	"65-79 år"	"2005"	17	5	330
"Menn"	"65-79 år"	"2006"	17	3	330
"Menn"	"65-79 år"	"2007"	14	6	318
"Menn"	"65-79 år"	"2008"	15	4	298
"Menn"	"65-79 år"	"2009"	17	3	333
"Menn"	"65-79 år"	"2010"	16	3	300
"Menn"	"65-79 år"	"2011"	13	3	369
"Menn"	"65-79 år"	"2012"	15	4	386
"Menn"	"65-79 år"	"2013"	14	4	365
"Menn"	"65-79 år"	"2014"	15	4	412
"Menn"	"65-79 år"	"2015"	14	4	476
"Menn"	"65-79 år"	"2016"	13	4	473
"Menn"	"65-79 år"	"2017"	12	5	509
"Menn"	"65-79 år"	"2018"	13	3	483
"Menn"	"65-79 år"	"2019"	10	2	527
"Menn"	"65-79 år"	"2020"	11	5	510
"Menn"	"65-79 år"	"2021"	11	4	498
"Menn"	"65-79 år"	"2022"	8	2	509
"Menn"	"65-79 år"	"2023"	9	5	495
"Menn"	"65-79 år"	"2024"	10	3	444
"Menn"	"65-79 år"	"2025"	9	4	442
