03723: Boligbygg, etter region, måned og statistikkvariabel;;;;;;;
;;;;;;;
region;måned;Igangsettingstillatelser boliger;Igangsettingstillatelser bruksareal (1 000 m²);Boliger under arbeid;Under arbeid, bruksareal (1 000 m²);Fullførte boliger;Fullført bruksareal (1 000 m²)
15 Møre og Romsdal;2024M05;32;05.jan;1717;257.5;65;07.sep
15 Møre og Romsdal;2024M06;37;06.feb;1705;254.4;50;08.aug
15 Møre og Romsdal;2024M07;133;13.jun;1768;257.2;66;10.apr
15 Møre og Romsdal;2024M08;49;08.jul;1780;260.3;34;04.sep
15 Møre og Romsdal;2024M09;61;07.mar;1772;257.0;37;6.0
15 Møre og Romsdal;2024M10;50;07.jul;1749;254.6;66;08.aug
15 Møre og Romsdal;2024M11;35;05.sep;1753;254.2;26;5.0
15 Møre og Romsdal;2024M12;30;04.aug;1688;244.9;88;12.sep
15 Møre og Romsdal;2025M01;43;05.sep;1681;242.0;38;05.mai
15 Møre og Romsdal;2025M02;57;07.aug;1605;235.0;130;14.mai
15 Møre og Romsdal;2025M03;57;07.mai;1601;234.6;102;16.jul
15 Møre og Romsdal;2025M04;56;9.0;1576;231.6;96;15.mai
15 Møre og Romsdal;2025M05;25;06.jan;1539;228.3;61;10.mar
15 Møre og Romsdal;2025M06;35;05.apr;1482;219.8;93;14.apr
15 Møre og Romsdal;2025M07;61;07.sep;1518;222.9;26;5.0
15 Møre og Romsdal;2025M08;103;11.jul;1584;228.8;30;04.jun
15 Møre og Romsdal;2025M09;109;13.jul;1586;228.6;82;10.jun
15 Møre og Romsdal;2025M10;112;15.mai;1642;235.3;58;09.jan
