"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Sysselsatte (1000 personer)";2388
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1831
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Arbeidsledige (1000 personer)";86
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Arbeidsstyrken (1000 personer)";2479
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Sysselsatte (1000 personer)";2396
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1837
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Arbeidsledige (1000 personer)";83
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Arbeidsledige i prosent av arbeidsstyrken";3,4
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M09";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Arbeidsstyrken (1000 personer)";2482
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Sysselsatte (1000 personer)";2403
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1842
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Arbeidsledige (1000 personer)";80
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M10";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Arbeidsstyrken (1000 personer)";2485
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Sysselsatte (1000 personer)";2409
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1846
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Arbeidsledige (1000 personer)";76
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Arbeidsledige i prosent av arbeidsstyrken";3,1
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M11";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Arbeidsstyrken (1000 personer)";2488
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Sysselsatte (1000 personer)";2414
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1849
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Arbeidsledige (1000 personer)";74
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Arbeidsledige i prosent av arbeidsstyrken";3
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M12";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Arbeidsstyrken (1000 personer)";2490
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Sysselsatte (1000 personer)";2419
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1851
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Arbeidsledige (1000 personer)";71
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Arbeidsledige i prosent av arbeidsstyrken";2,9
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M01";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Arbeidsstyrken (1000 personer)";2494
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Sysselsatte (1000 personer)";2424
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1853
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Arbeidsledige (1000 personer)";69
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Arbeidsledige i prosent av arbeidsstyrken";2,8
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M02";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Arbeidsstyrken (1000 personer)";2498
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Sysselsatte (1000 personer)";2430
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1855
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Arbeidsledige (1000 personer)";68
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M03";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M04";"Arbeidsstyrken (1000 personer)";2504
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M04";"Sysselsatte (1000 personer)";2436
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2007M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1859
