"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"TJENESTEYTENDE NÆRINGER";"2022K2";125.5;.;100.0
"TJENESTEYTENDE NÆRINGER";"2022K3";226.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2022K4";162.6;.;100.0
"TJENESTEYTENDE NÆRINGER";"2023K1";110.2;.;100.0
"TJENESTEYTENDE NÆRINGER";"2023K2";80.8;.;100.0
"TJENESTEYTENDE NÆRINGER";"2023K3";37.3;.;100.0
"Nye fastpriskontrakter, tjenesteytende næringer";"2012K1";37.2;.;2.2
"Nye fastpriskontrakter, tjenesteytende næringer";"2012K2";34.5;.;4.6
"Nye fastpriskontrakter, tjenesteytende næringer";"2012K3";35.5;.;1.1
"Nye fastpriskontrakter, tjenesteytende næringer";"2012K4";36.2;.;2.0
"Nye fastpriskontrakter, tjenesteytende næringer";"2013K1";35.3;.;2.9
"Nye fastpriskontrakter, tjenesteytende næringer";"2013K2";33.9;.;2.6
"Nye fastpriskontrakter, tjenesteytende næringer";"2013K3";32.7;.;0.9
"Nye fastpriskontrakter, tjenesteytende næringer";"2013K4";34.9;.;1.0
"Nye fastpriskontrakter, tjenesteytende næringer";"2014K1";32.5;.;1.7
"Nye fastpriskontrakter, tjenesteytende næringer";"2014K2";31.3;.;3.6
"Nye fastpriskontrakter, tjenesteytende næringer";"2014K3";31.7;.;1.0
"Nye fastpriskontrakter, tjenesteytende næringer";"2014K4";34.1;.;1.5
"Nye fastpriskontrakter, tjenesteytende næringer";"2015K1";33.0;.;0.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2015K2";33.8;.;2.1
"Nye fastpriskontrakter, tjenesteytende næringer";"2015K3";29.2;.;1.3
"Nye fastpriskontrakter, tjenesteytende næringer";"2015K4";30.6;.;0.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2016K1";30.1;.;1.1
"Nye fastpriskontrakter, tjenesteytende næringer";"2016K2";31.7;.;1.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2016K3";28.7;.;0.1
"Nye fastpriskontrakter, tjenesteytende næringer";"2016K4";31.8;.;0.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2017K1";28.1;.;0.7
"Nye fastpriskontrakter, tjenesteytende næringer";"2017K2";27.8;.;0.6
"Nye fastpriskontrakter, tjenesteytende næringer";"2017K3";29.7;.;0.5
"Nye fastpriskontrakter, tjenesteytende næringer";"2017K4";28.9;.;1.1
"Nye fastpriskontrakter, tjenesteytende næringer";"2018K1";28.7;.;4.4
"Nye fastpriskontrakter, tjenesteytende næringer";"2018K2";30.8;.;0.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2018K3";32.6;.;3.1
"Nye fastpriskontrakter, tjenesteytende næringer";"2018K4";40.6;.;3.6
"Nye fastpriskontrakter, tjenesteytende næringer";"2019K1";33.9;.;1.5
"Nye fastpriskontrakter, tjenesteytende næringer";"2019K2";35.9;.;1.3
"Nye fastpriskontrakter, tjenesteytende næringer";"2019K3";36.0;.;0.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2019K4";38.5;.;0.8
"Nye fastpriskontrakter, tjenesteytende næringer";"2020K1";39.1;.;3.2
"Nye fastpriskontrakter, tjenesteytende næringer";"2020K2";21.2;.;0.7
"Nye fastpriskontrakter, tjenesteytende næringer";"2020K3";16.5;.;1.6
"Nye fastpriskontrakter, tjenesteytende næringer";"2020K4";18.9;.;2.0
"Nye fastpriskontrakter, tjenesteytende næringer";"2021K1";29.2;.;4.3
"Nye fastpriskontrakter, tjenesteytende næringer";"2021K2";28.5;.;4.7
"Nye fastpriskontrakter, tjenesteytende næringer";"2021K3";43.9;.;3.9
"Nye fastpriskontrakter, tjenesteytende næringer";"2021K4";32.2;.;1.9
"Nye fastpriskontrakter, tjenesteytende næringer";"2022K1";42.8;.;1.7
"Nye fastpriskontrakter, tjenesteytende næringer";"2022K2";39.6;.;0.9
"Nye fastpriskontrakter, tjenesteytende næringer";"2022K3";31.9;.;0.4
"Nye fastpriskontrakter, tjenesteytende næringer";"2022K4";49.2;.;0.5
"Nye fastpriskontrakter, tjenesteytende næringer";"2023K1";129.7;.;2.4
"Nye fastpriskontrakter, tjenesteytende næringer";"2023K2";34.5;.;0.4
"Nye fastpriskontrakter, tjenesteytende næringer";"2023K3";28.6;.;0.4
"Eldre fastpriskontrakter, tjenesteytende næringer";"2012K1";38.8;.;4.1
"Eldre fastpriskontrakter, tjenesteytende næringer";"2012K2";38.2;.;6.5
"Eldre fastpriskontrakter, tjenesteytende næringer";"2012K3";34.6;.;12.7
"Eldre fastpriskontrakter, tjenesteytende næringer";"2012K4";34.7;.;9.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2013K1";36.3;.;6.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2013K2";36.9;.;6.5
"Eldre fastpriskontrakter, tjenesteytende næringer";"2013K3";36.4;.;9.4
"Eldre fastpriskontrakter, tjenesteytende næringer";"2013K4";35.8;.;8.2
"Eldre fastpriskontrakter, tjenesteytende næringer";"2014K1";35.0;.;7.4
"Eldre fastpriskontrakter, tjenesteytende næringer";"2014K2";35.5;.;5.3
"Eldre fastpriskontrakter, tjenesteytende næringer";"2014K3";35.3;.;8.9
"Eldre fastpriskontrakter, tjenesteytende næringer";"2014K4";34.6;.;7.7
"Eldre fastpriskontrakter, tjenesteytende næringer";"2015K1";33.4;.;5.6
"Eldre fastpriskontrakter, tjenesteytende næringer";"2015K2";32.8;.;5.3
"Eldre fastpriskontrakter, tjenesteytende næringer";"2015K3";32.5;.;6.9
"Eldre fastpriskontrakter, tjenesteytende næringer";"2015K4";32.6;.;7.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2016K1";31.1;.;6.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2016K2";30.6;.;5.2
"Eldre fastpriskontrakter, tjenesteytende næringer";"2016K3";31.4;.;7.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2016K4";31.4;.;4.7
"Eldre fastpriskontrakter, tjenesteytende næringer";"2017K1";29.5;.;4.2
"Eldre fastpriskontrakter, tjenesteytende næringer";"2017K2";29.3;.;4.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2017K3";29.2;.;6.9
"Eldre fastpriskontrakter, tjenesteytende næringer";"2017K4";28.8;.;4.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2018K1";32.1;.;2.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2018K2";30.3;.;7.2
"Eldre fastpriskontrakter, tjenesteytende næringer";"2018K3";31.1;.;5.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2018K4";34.0;.;4.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2019K1";40.4;.;3.5
"Eldre fastpriskontrakter, tjenesteytende næringer";"2019K2";34.9;.;5.8
"Eldre fastpriskontrakter, tjenesteytende næringer";"2019K3";35.0;.;7.5
"Eldre fastpriskontrakter, tjenesteytende næringer";"2019K4";33.4;.;5.1
"Eldre fastpriskontrakter, tjenesteytende næringer";"2020K1";38.0;.;4.1
"Eldre fastpriskontrakter, tjenesteytende næringer";"2020K2";35.0;.;7.1
"Eldre fastpriskontrakter, tjenesteytende næringer";"2020K3";24.8;.;4.5
"Eldre fastpriskontrakter, tjenesteytende næringer";"2020K4";25.9;.;4.2
"Eldre fastpriskontrakter, tjenesteytende næringer";"2021K1";30.1;.;3.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2021K2";31.9;.;3.6
"Eldre fastpriskontrakter, tjenesteytende næringer";"2021K3";31.1;.;4.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2021K4";37.3;.;3.5
"Eldre fastpriskontrakter, tjenesteytende næringer";"2022K1";53.3;.;2.0
"Eldre fastpriskontrakter, tjenesteytende næringer";"2022K2";47.1;.;4.3
"Eldre fastpriskontrakter, tjenesteytende næringer";"2022K3";82.2;.;4.9
"Eldre fastpriskontrakter, tjenesteytende næringer";"2022K4";95.0;.;3.6
"Eldre fastpriskontrakter, tjenesteytende næringer";"2023K1";48.2;.;2.6
"Eldre fastpriskontrakter, tjenesteytende næringer";"2023K2";75.2;.;4.4
"Eldre fastpriskontrakter, tjenesteytende næringer";"2023K3";71.4;.;6.0
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K1";32.1;.;89.1
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K2";23.8;.;83.1
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K3";16.7;.;82.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K4";31.2;.;81.1
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K1";33.8;.;86.8
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K2";33.7;.;85.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K3";30.4;.;85.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K4";34.3;.;85.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K1";29.2;.;85.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K2";23.0;.;82.6
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K3";29.3;.;85.5
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K4";29.9;.;86.3
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K1";28.6;.;89.0
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K2";22.5;.;88.3
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K3";16.5;.;87.1
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K4";24.0;.;86.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K1";26.8;.;88.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K2";25.3;.;89.0
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K3";26.7;.;89.5
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K4";35.7;.;90.9
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K1";30.7;.;90.4
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K2";29.2;.;88.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K3";29.7;.;88.3
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K4";32.8;.;88.3
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K1";39.5;.;86.1
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K2";41.5;.;87.6
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K3";52.7;.;87.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K4";51.7;.;87.5
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K1";51.6;.;90.8
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K2";42.3;.;88.9
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K3";37.9;.;88.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K4";43.5;.;87.5
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K1";23.0;.;86.6
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K2";9.7;.;88.0
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K3";9.1;.;89.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K4";17.8;.;88.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K1";51.0;.;86.6
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K2";47.4;.;87.0
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K3";76.1;.;87.0
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K4";112.0;.;89.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K1";116.4;.;91.4
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K2";131.2;.;89.3
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K3";238.8;.;90.2
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K4";165.5;.;93.3
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K1";109.1;.;91.8
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K2";80.6;.;92.7
"Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K3";34.5;.;91.7
"Variabel pris kontrakter, tjenesteytende næringer";"2012K1";33.8;.;4.6
"Variabel pris kontrakter, tjenesteytende næringer";"2012K2";27.2;.;5.8
"Variabel pris kontrakter, tjenesteytende næringer";"2012K3";23.1;.;4.0
"Variabel pris kontrakter, tjenesteytende næringer";"2012K4";28.2;.;7.9
"Variabel pris kontrakter, tjenesteytende næringer";"2013K1";35.5;.;4.2
"Variabel pris kontrakter, tjenesteytende næringer";"2013K2";34.7;.;5.2
"Variabel pris kontrakter, tjenesteytende næringer";"2013K3";33.2;.;4.4
"Variabel pris kontrakter, tjenesteytende næringer";"2013K4";36.6;.;5.1
"Variabel pris kontrakter, tjenesteytende næringer";"2014K1";33.5;.;5.7
"Variabel pris kontrakter, tjenesteytende næringer";"2014K2";29.0;.;8.5
"Variabel pris kontrakter, tjenesteytende næringer";"2014K3";31.3;.;4.6
"Variabel pris kontrakter, tjenesteytende næringer";"2014K4";32.3;.;4.5
"Variabel pris kontrakter, tjenesteytende næringer";"2015K1";33.3;.;4.6
"Variabel pris kontrakter, tjenesteytende næringer";"2015K2";27.9;.;4.3
"Variabel pris kontrakter, tjenesteytende næringer";"2015K3";24.2;.;4.8
"Variabel pris kontrakter, tjenesteytende næringer";"2015K4";28.3;.;5.2
"Variabel pris kontrakter, tjenesteytende næringer";"2016K1";31.0;.;4.8
"Variabel pris kontrakter, tjenesteytende næringer";"2016K2";29.1;.;4.1
"Variabel pris kontrakter, tjenesteytende næringer";"2016K3";30.1;.;3.4
"Variabel pris kontrakter, tjenesteytende næringer";"2016K4";35.1;.;3.7
"Variabel pris kontrakter, tjenesteytende næringer";"2017K1";35.2;.;4.7
"Variabel pris kontrakter, tjenesteytende næringer";"2017K2";32.4;.;5.8
"Variabel pris kontrakter, tjenesteytende næringer";"2017K3";32.2;.;4.3
"Variabel pris kontrakter, tjenesteytende næringer";"2017K4";36.4;.;5.8
"Variabel pris kontrakter, tjenesteytende næringer";"2018K1";42.2;.;6.8
"Variabel pris kontrakter, tjenesteytende næringer";"2018K2";44.6;.;4.4
"Variabel pris kontrakter, tjenesteytende næringer";"2018K3";56.4;.;3.9
"Variabel pris kontrakter, tjenesteytende næringer";"2018K4";57.5;.;4.1
"Variabel pris kontrakter, tjenesteytende næringer";"2019K1";56.6;.;4.2
"Variabel pris kontrakter, tjenesteytende næringer";"2019K2";48.7;.;4.0
"Variabel pris kontrakter, tjenesteytende næringer";"2019K3";43.9;.;3.1
"Variabel pris kontrakter, tjenesteytende næringer";"2019K4";46.0;.;6.5
"Variabel pris kontrakter, tjenesteytende næringer";"2020K1";30.5;.;6.1
"Variabel pris kontrakter, tjenesteytende næringer";"2020K2";16.6;.;4.2
"Variabel pris kontrakter, tjenesteytende næringer";"2020K3";16.8;.;4.1
"Variabel pris kontrakter, tjenesteytende næringer";"2020K4";22.0;.;5.1
"Variabel pris kontrakter, tjenesteytende næringer";"2021K1";45.9;.;6.1
"Variabel pris kontrakter, tjenesteytende næringer";"2021K2";44.1;.;4.7
"Variabel pris kontrakter, tjenesteytende næringer";"2021K3";62.5;.;5.1
"Variabel pris kontrakter, tjenesteytende næringer";"2021K4";76.9;.;5.4
"Variabel pris kontrakter, tjenesteytende næringer";"2022K1";98.4;.;4.9
"Variabel pris kontrakter, tjenesteytende næringer";"2022K2";108.5;.;5.5
"Variabel pris kontrakter, tjenesteytende næringer";"2022K3";141.7;.;4.5
"Variabel pris kontrakter, tjenesteytende næringer";"2022K4";172.7;.;2.7
"Variabel pris kontrakter, tjenesteytende næringer";"2023K1";180.0;.;3.2
"Variabel pris kontrakter, tjenesteytende næringer";"2023K2";105.8;.;2.5
"Variabel pris kontrakter, tjenesteytende næringer";"2023K3";64.2;.;1.9
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2012K1";31.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2012K2";24.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2012K3";19.7;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2012K4";30.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2013K1";33.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2013K2";32.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2013K3";30.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2013K4";32.2;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2014K1";28.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2014K2";23.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2014K3";29.2;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2014K4";29.1;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2015K1";28.6;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2015K2";22.2;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2015K3";16.6;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2015K4";23.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2016K1";26.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2016K2";26.0;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2016K3";26.6;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2016K4";35.0;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2017K1";29.9;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2017K2";29.2;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2017K3";28.9;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2017K4";32.5;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2018K1";38.6;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2018K2";39.9;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2018K3";49.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2018K4";49.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2019K1";50.3;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2019K2";38.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2019K3";36.6;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2019K4";43.1;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2020K1";22.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2020K2";10.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2020K3";9.9;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2020K4";17.6;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2021K1";49.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2021K2";45.3;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2021K3";70.7;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2021K4";103.5;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2022K1";103.8;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2022K2";120.7;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2022K3";216.2;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2022K4";150.7;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2023K1";103.2;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2023K2";76.4;.;100.0
"INDUSTRI UNNTATT KRAFTINTENSIV INDUSTRI";"2023K3";35.8;.;100.0
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K1";35.9;.;7.3
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K2";35.9;.;5.9
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K3";33.8;.;2.1
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K4";36.9;.;2.4
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K1";33.6;.;2.6
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K2";32.5;.;2.7
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K3";29.1;.;1.3
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K4";33.5;.;1.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K1";30.7;.;3.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K2";29.8;.;3.1
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K3";31.7;.;1.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K4";28.5;.;1.6
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K1";30.1;.;0.7
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K2";30.6;.;1.8
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K3";30.1;.;0.5
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K4";30.4;.;0.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K1";25.9;.;1.1
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K2";29.7;.;0.5
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K3";31.0;.;0.3
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K4";34.3;.;0.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K1";28.9;.;1.0
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K2";30.7;.;0.3
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K3";37.4;.;0.1
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K4";30.6;.;0.6
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K1";30.6;.;0.8
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K2";38.0;.;0.5
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K3";41.4;.;0.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K4";45.2;.;0.1
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K1";37.1;.;0.6
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K2";36.6;.;0.4
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K3";34.2;.;1.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K4";39.5;.;0.7
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K1";32.3;.;1.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K2";32.7;.;1.1
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K3";35.1;.;0.9
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K4";22.2;.;2.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K1";28.5;.;1.3
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K2";24.7;.;0.9
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K3";27.9;.;1.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K4";30.6;.;0.9
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K1";36.1;.;2.0
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K2";63.9;.;2.3
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K3";25.1;.;1.8
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K4";51.9;.;1.8
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K1";48.6;.;2.2
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K2";43.8;.;1.5
"Nye fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K3";35.9;.;1.4
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K1";35.7;.;5.0
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K2";37.5;.;6.2
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K3";35.9;.;13.7
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K4";35.7;.;13.7
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K1";36.9;.;5.3
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K2";36.0;.;6.8
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K3";35.6;.;8.7
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K4";35.6;.;7.3
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K1";33.1;.;7.0
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K2";31.3;.;8.3
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K3";32.6;.;10.3
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K4";32.9;.;7.8
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K1";31.7;.;8.1
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K2";30.4;.;6.8
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K3";28.9;.;6.4
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K4";29.2;.;7.0
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K1";29.7;.;4.1
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K2";27.2;.;4.6
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K3";28.1;.;4.3
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K4";30.3;.;4.2
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K1";29.3;.;5.0
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K2";29.0;.;6.6
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K3";29.2;.;9.8
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K4";29.6;.;6.7
"Eldre fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K1";29.3;.;4.2
