"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2018K1";32.9;40.1;0.4
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2018K2";35.6;43.5;0.2
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2018K3";43.6;53.2;0.2
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2018K4";51.3;62.7;0.3
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2019K1";46.0;56.2;0.4
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2019K2";36.5;44.5;0.2
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2019K3";38.8;47.4;0.3
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2019K4";42.3;51.6;0.3
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2020K1";35.7;43.6;0.5
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2020K2";23.7;28.9;0.4
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2020K3";17.3;21.1;0.3
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2020K4";24.3;29.7;0.4
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2021K1";32.3;39.4;0.6
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2021K2";31.1;37.9;0.5
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2021K3";80.7;98.6;1.5
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2021K4";72.7;88.7;1.1
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2022K1";95.2;116.2;1.2
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2022K2";94.8;115.7;1.5
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2022K3";91.6;111.8;0.9
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2022K4";77.8;95.0;0.6
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2023K1";59.5;72.6;0.6
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2023K2";43.8;53.4;0.5
"Nye fastpriskontrakter, inntil 1-års varighet, husholdninger";"2023K3";36.9;44.9;0.6
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2012K1";39.2;47.7;0.9
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2012K2";35.5;43.2;0.6
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2012K3";34.0;41.5;0.8
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2012K4";35.3;43.1;0.8
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2013K1";35.5;43.3;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2013K2";35.5;43.2;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2013K3";34.1;41.6;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2013K4";37.4;45.5;0.4
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2014K1";35.8;43.6;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2014K2";34.9;42.5;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2014K3";32.8;40.0;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2014K4";32.5;39.7;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2015K1";32.1;39.1;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2015K2";33.5;40.9;0.2
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2015K3";31.2;38.0;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2015K4";31.1;37.9;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2016K1";27.4;33.4;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2016K2";28.0;34.1;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2016K3";30.3;36.9;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2016K4";29.9;36.5;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2017K1";29.6;36.1;0.3
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2017K2";30.6;37.3;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2017K3";32.0;39.0;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2017K4";34.3;41.8;0.1
"Nye fastpriskontrakter, over 1-års varighet, husholdninger";"2018K1";27.6;33.6;0.2
