DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1995-Q1,43355.4,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1995-Q2,46745.5,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1995-Q3,46268.0,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1995-Q4,48023.0,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1996-Q1,44622.4,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1996-Q2,47046.9,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1996-Q3,47057.3,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1996-Q4,48202.1,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1997-Q1,44514.6,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1997-Q2,47095.1,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1997-Q3,47133.4,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1997-Q4,49106.6,
ESTAT:NAMQ_10_GDP(1.0),24/10/24 23:00:00,Q,CP_MEUR,NSA,B1GQ,AT,1998-Q1,45916.5,
