"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2002U22";5663;24.75
"Fersk oppalen laks";"2002U23";5932;24.24
"Fersk oppalen laks";"2002U24";5993;23.63
"Fersk oppalen laks";"2002U25";5172;23.44
"Fersk oppalen laks";"2002U26";5254;23.18
"Fersk oppalen laks";"2002U27";5145;22.82
"Fersk oppalen laks";"2002U28";4476;22.70
"Fersk oppalen laks";"2002U29";5131;22.80
"Fersk oppalen laks";"2002U30";4766;22.93
"Fersk oppalen laks";"2002U31";4785;23.25
"Fersk oppalen laks";"2002U32";5210;24.10
"Fersk oppalen laks";"2002U33";5169;24.05
"Fersk oppalen laks";"2002U34";4924;24.22
"Fersk oppalen laks";"2002U35";4973;23.48
"Fersk oppalen laks";"2002U36";5067;23.37
"Fersk oppalen laks";"2002U37";5352;23.71
"Fersk oppalen laks";"2002U38";5064;23.55
"Fersk oppalen laks";"2002U39";4894;23.85
"Fersk oppalen laks";"2002U40";5412;23.74
"Fersk oppalen laks";"2002U41";5261;23.68
"Fersk oppalen laks";"2002U42";5059;23.22
"Fersk oppalen laks";"2002U43";6252;22.93
"Fersk oppalen laks";"2002U44";5502;23.09
"Fersk oppalen laks";"2002U45";6145;22.78
"Fersk oppalen laks";"2002U46";5757;22.62
"Fersk oppalen laks";"2002U47";5700;22.47
"Fersk oppalen laks";"2002U48";6830;21.94
"Fersk oppalen laks";"2002U49";8613;22.45
"Fersk oppalen laks";"2002U50";9967;23.00
"Fersk oppalen laks";"2002U51";8424;23.39
"Fersk oppalen laks";"2002U52";2628;23.50
"Fersk oppalen laks";"2003U01";2825;22.93
"Fersk oppalen laks";"2003U02";5503;23.19
"Fersk oppalen laks";"2003U03";5051;22.78
"Fersk oppalen laks";"2003U04";4812;22.51
"Fersk oppalen laks";"2003U05";4752;22.68
"Fersk oppalen laks";"2003U06";4607;22.62
"Fersk oppalen laks";"2003U07";4702;22.97
"Fersk oppalen laks";"2003U08";4772;22.99
"Fersk oppalen laks";"2003U09";4265;22.52
"Fersk oppalen laks";"2003U10";5586;23.14
"Fersk oppalen laks";"2003U11";5101;22.91
"Fersk oppalen laks";"2003U12";5066;23.05
"Fersk oppalen laks";"2003U13";6378;23.44
"Fersk oppalen laks";"2003U14";6481;23.50
"Fersk oppalen laks";"2003U15";6695;22.84
"Fersk oppalen laks";"2003U16";4648;22.69
"Fersk oppalen laks";"2003U17";5944;22.95
"Fersk oppalen laks";"2003U18";5162;22.67
"Fersk oppalen laks";"2003U19";5986;22.43
"Fersk oppalen laks";"2003U20";6581;22.40
"Fersk oppalen laks";"2003U21";6510;22.20
"Fersk oppalen laks";"2003U22";5799;21.35
"Fersk oppalen laks";"2003U23";6385;19.27
"Fersk oppalen laks";"2003U24";6434;19.43
"Fersk oppalen laks";"2003U25";5769;18.76
"Fersk oppalen laks";"2003U26";6179;18.60
"Fersk oppalen laks";"2003U27";5768;17.67
"Fersk oppalen laks";"2003U28";6185;17.46
"Fersk oppalen laks";"2003U29";5054;18.26
"Fersk oppalen laks";"2003U30";5548;18.07
"Fersk oppalen laks";"2003U31";5987;18.09
"Fersk oppalen laks";"2003U32";5434;18.05
"Fersk oppalen laks";"2003U33";6220;18.48
"Fersk oppalen laks";"2003U34";5399;18.81
"Fersk oppalen laks";"2003U35";6289;19.65
"Fersk oppalen laks";"2003U36";6565;20.41
"Fersk oppalen laks";"2003U37";5636;20.86
"Fersk oppalen laks";"2003U38";5621;21.17
"Fersk oppalen laks";"2003U39";7397;21.78
"Fersk oppalen laks";"2003U40";6337;22.21
"Fersk oppalen laks";"2003U41";6062;22.67
"Fersk oppalen laks";"2003U42";6976;22.60
"Fersk oppalen laks";"2003U43";7962;22.58
"Fersk oppalen laks";"2003U44";6153;21.72
"Fersk oppalen laks";"2003U45";7396;21.03
"Fersk oppalen laks";"2003U46";7044;20.47
"Fersk oppalen laks";"2003U47";6429;20.66
"Fersk oppalen laks";"2003U48";7852;21.22
"Fersk oppalen laks";"2003U49";7786;21.24
"Fersk oppalen laks";"2003U50";11559;21.24
"Fersk oppalen laks";"2003U51";9398;20.61
"Fersk oppalen laks";"2003U52";3691;20.90
"Fersk oppalen laks";"2004U01";1306;22.06
"Fersk oppalen laks";"2004U02";7777;22.09
"Fersk oppalen laks";"2004U03";5115;22.25
"Fersk oppalen laks";"2004U04";5387;21.93
"Fersk oppalen laks";"2004U05";5300;21.86
"Fersk oppalen laks";"2004U06";5171;22.71
"Fersk oppalen laks";"2004U07";5118;23.30
"Fersk oppalen laks";"2004U08";5066;23.26
"Fersk oppalen laks";"2004U09";5297;23.05
"Fersk oppalen laks";"2004U10";5813;23.20
"Fersk oppalen laks";"2004U11";6063;23.77
"Fersk oppalen laks";"2004U12";6036;24.35
"Fersk oppalen laks";"2004U13";5638;24.73
"Fersk oppalen laks";"2004U14";7622;24.88
"Fersk oppalen laks";"2004U15";4720;25.10
"Fersk oppalen laks";"2004U16";4778;24.99
"Fersk oppalen laks";"2004U17";5059;25.08
"Fersk oppalen laks";"2004U18";5947;24.82
"Fersk oppalen laks";"2004U19";5742;24.37
"Fersk oppalen laks";"2004U20";6703;23.81
"Fersk oppalen laks";"2004U21";4984;23.71
"Fersk oppalen laks";"2004U22";6487;23.22
"Fersk oppalen laks";"2004U23";6196;22.91
"Fersk oppalen laks";"2004U24";6745;22.06
"Fersk oppalen laks";"2004U25";7319;21.61
"Fersk oppalen laks";"2004U26";6614;21.61
"Fersk oppalen laks";"2004U27";6634;21.25
"Fersk oppalen laks";"2004U28";6138;21.06
"Fersk oppalen laks";"2004U29";6436;21.25
"Fersk oppalen laks";"2004U30";5754;21.73
"Fersk oppalen laks";"2004U31";5600;22.46
"Fersk oppalen laks";"2004U32";6542;23.43
"Fersk oppalen laks";"2004U33";5601;23.45
"Fersk oppalen laks";"2004U34";6597;22.83
"Fersk oppalen laks";"2004U35";6129;22.39
"Fersk oppalen laks";"2004U36";6314;22.08
"Fersk oppalen laks";"2004U37";6870;22.29
"Fersk oppalen laks";"2004U38";7175;22.51
"Fersk oppalen laks";"2004U39";7092;22.47
"Fersk oppalen laks";"2004U40";7116;22.04
"Fersk oppalen laks";"2004U41";7158;21.46
"Fersk oppalen laks";"2004U42";6820;21.37
"Fersk oppalen laks";"2004U43";7190;20.86
"Fersk oppalen laks";"2004U44";6761;20.46
"Fersk oppalen laks";"2004U45";7756;20.11
"Fersk oppalen laks";"2004U46";7391;19.94
"Fersk oppalen laks";"2004U47";7661;20.44
"Fersk oppalen laks";"2004U48";8017;20.47
"Fersk oppalen laks";"2004U49";8986;21.06
"Fersk oppalen laks";"2004U50";10506;21.79
"Fersk oppalen laks";"2004U51";12242;22.88
"Fersk oppalen laks";"2004U52";8315;23.67
"Fersk oppalen laks";"2004U53";3814;23.57
"Fersk oppalen laks";"2005U01";6661;23.29
"Fersk oppalen laks";"2005U02";5900;22.67
"Fersk oppalen laks";"2005U03";6172;22.87
"Fersk oppalen laks";"2005U04";6245;23.75
"Fersk oppalen laks";"2005U05";6368;24.50
"Fersk oppalen laks";"2005U06";5667;24.99
"Fersk oppalen laks";"2005U07";6128;24.98
"Fersk oppalen laks";"2005U08";6789;25.05
"Fersk oppalen laks";"2005U09";7157;24.86
"Fersk oppalen laks";"2005U10";7280;24.44
"Fersk oppalen laks";"2005U11";8013;24.33
"Fersk oppalen laks";"2005U12";5269;25.13
"Fersk oppalen laks";"2005U13";6429;25.22
"Fersk oppalen laks";"2005U14";7458;25.56
"Fersk oppalen laks";"2005U15";7508;25.27
"Fersk oppalen laks";"2005U16";7282;24.90
"Fersk oppalen laks";"2005U17";6057;24.90
"Fersk oppalen laks";"2005U18";5955;24.59
"Fersk oppalen laks";"2005U19";7039;25.27
"Fersk oppalen laks";"2005U20";5925;26.40
"Fersk oppalen laks";"2005U21";7011;25.98
"Fersk oppalen laks";"2005U22";6599;25.36
"Fersk oppalen laks";"2005U23";6661;27.82
"Fersk oppalen laks";"2005U24";7316;28.17
"Fersk oppalen laks";"2005U25";7104;27.67
